post_id,sentiment_label,prediccion,date_local,likes,comments,textura
124865672847018613,4.185185185185185,[['Blouse']],2012-02-13_03-52-49_UTC,752,32,[[['floral']]]
232779783269763840,2.75,[['Blouse']],2012-07-11_01-18-54_UTC,430,8,[[['print']]]
236302738247371017,3.8,[['Tee']],2012-07-15_21-58-23_UTC,359,5,[[['floral']]]
466570766573357415,3.3,[['Blouse']],2013-05-29_14-59-51_UTC,451,10,[[['print']]]
705047854459112413,5.0,[['Blouse']],2014-04-23_15-51-15_UTC,268,5,"[[['floral', 'print']]]"
710292227924936924,3.7,[['Tee']],2014-04-30_21-30-53_UTC,368,20,[[['print']]]
745903433855257189,5.0,[['Shorts']],2014-06-19_00-44-00_UTC,300,10,[[['print']]]
786808591006812394,4.041666666666667,[['Dress']],2014-08-14_11-15-14_UTC,576,26,[[['print']]]
818246782360210326,3.6666666666666665,[['Dress']],2014-09-26_20-17-19_UTC,333,9,"[[['floral', 'print']]]"
827541480157465342,3.0,[['Dress']],2014-10-09_16-04-13_UTC,291,4,"[[['floral', 'print']]]"
901515177905604669,4.2,[['Sweater']],2015-01-19_17-36-45_UTC,365,11,"[[['dot', 'print']]]"
995836976536996008,4.846153846153846,[['Dress']],2015-05-29_20-57-20_UTC,583,13,[[['print']]]
997106051997223677,4.157894736842105,[['Dress']],2015-05-31_14-58-45_UTC,499,19,"[[['floral', 'print']]]"
1004340976836135295,5.0,[['Tee']],2015-06-10_14-33-15_UTC,885,10,"[[['floral', 'print']]]"
1303246913948977425,3.8620689655172415,[['Skirt']],2016-07-27_00-26-00_UTC,1236,29,[[['print']]]
1304695625174867390,3.727272727272727,[['Jacket']],2016-07-29_00-24-20_UTC,1498,23,[[['print']]]
1309607039295501969,3.7083333333333335,[['Blouse']],2016-08-04_19-02-26_UTC,886,24,[[['print']]]
1311120344455357892,4.666666666666667,[['Jeans']],2016-08-06_21-09-06_UTC,1443,24,"[[['floral', 'print']]]"
1332935749897328471,4.588235294117647,[['Jacket']],2016-09-05_23-32-25_UTC,904,20,[[['floral']]]
1349599785162513080,4.404761904761905,[['Tee']],2016-09-28_23-20-53_UTC,2016,43,"[[['floral', 'print']]]"
1364888659333953099,3.8461538461538463,[['Tee']],2016-10-20_01-37-09_UTC,2438,27,"[[['floral', 'print']]]"
1387211633281874289,3.7777777777777777,[['Dress']],2016-11-19_20-48-54_UTC,1557,9,[[['print']]]
1392312192150153766,4.475409836065574,[['Sweater']],2016-11-26_21-42-48_UTC,3197,64,[[['floral']]]
1400333199661789598,4.490909090909091,[['Jacket']],2016-12-07_23-19-07_UTC,3478,111,"[[['floral', 'print']]]"
1402466397477387307,3.877551020408163,[['Skirt']],2016-12-10_21-57-24_UTC,3257,49,"[[['floral', 'print']]]"
1435200014502450118,3.7906976744186047,[['Shorts']],2017-01-25_01-53-15_UTC,2830,43,[[['floral']]]
1435744399937802741,4.4,[['Skirt']],2017-01-25_19-54-51_UTC,4145,57,"[[['floral', 'print']]]"
1447964439370138040,3.829268292682927,[['Dress']],2017-02-11_16-33-53_UTC,4757,41,"[[['floral', 'print']]]"
1458799795179018508,4.095238095238095,[['Blouse']],2017-02-26_15-21-48_UTC,3338,42,"[[['floral', 'print']]]"
1461205998823214528,4.307692307692308,[['Skirt']],2017-03-01_23-02-30_UTC,5786,67,[[['floral']]]
1468448107716913266,4.324324324324325,[['Dress']],2017-03-11_22-51-17_UTC,7029,77,"[[['floral', 'print']]]"
1485942766504336236,4.369565217391305,[['Shorts']],2017-04-05_02-10-03_UTC,3637,48,"[[['floral', 'print']]]"
1489496680705157905,4.166666666666667,[['Skirt']],2017-04-09_23-51-02_UTC,8932,42,"[[['floral', 'print']]]"
1491670689937025815,4.531914893617022,[['Dress']],2017-04-12_23-50-24_UTC,5112,47,"[[['floral', 'print']]]"
1493034434126935784,4.086956521739131,[['Skirt']],2017-04-14_20-59-55_UTC,6129,46,[[['print']]]
1493793276389238144,4.0701754385964914,[['Dress']],2017-04-15_22-07-36_UTC,5256,60,[[['floral']]]
1495289137254459966,4.358974358974359,[['Top']],2017-04-17_23-39-37_UTC,4424,40,[[['print']]]
1496000757207299186,4.3125,[['Shorts']],2017-04-18_23-13-29_UTC,5015,83,"[[['floral', 'print']]]"
1511264634425716315,4.254237288135593,[['Jacket']],2017-05-10_00-40-05_UTC,6522,60,[[['print']]]
1515569888697469603,4.319148936170213,[['Jeans']],2017-05-15_23-13-51_UTC,5563,49,"[[['floral', 'print']]]"
1516245248632055835,4.555555555555555,[['Jacket']],2017-05-16_21-35-40_UTC,4349,45,[[['floral']]]
1517002472681809968,4.209302325581396,[['Skirt']],2017-05-17_22-40-08_UTC,5321,45,[[['print']]]
1517057822034255074,4.170731707317073,[['Shorts']],2017-05-18_00-30-06_UTC,6065,44,"[[['floral', 'print']]]"
1527192634946557559,4.246753246753247,[['Sweater']],2017-06-01_00-06-10_UTC,5727,80,[[['print']]]
1530834822049906377,4.288135593220339,[['Blouse']],2017-06-06_00-42-33_UTC,4851,59,[[['floral']]]
1532936550706663336,4.529411764705882,[['Blouse']],2017-06-08_22-18-18_UTC,10143,53,"[[['floral', 'print']]]"
1539316919920084032,4.025,[['Shorts']],2017-06-17_17-34-58_UTC,4825,41,"[[['floral', 'print']]]"
1543808190885728302,4.416666666666667,[['Blouse']],2017-06-23_22-18-19_UTC,5785,48,[[['floral']]]
1546025657754189862,4.6,[['Tee']],2017-06-26_23-44-02_UTC,4091,32,"[[['floral', 'print']]]"
1546758329313212011,4.394736842105263,[['Dress']],2017-06-27_23-59-43_UTC,6350,79,[[['print']]]
1548230631946978721,4.276315789473684,[['Jeans']],2017-06-30_00-44-55_UTC,5290,77,"[[['floral', 'print']]]"
1549391012522371356,4.028301886792453,[['Dress']],2017-07-01_15-10-23_UTC,12301,112,"[[['floral', 'print']]]"
1550823087905493467,4.4135135135135135,[['Jeans']],2017-07-03_14-35-40_UTC,14474,392,[[['floral']]]
1555190450943720005,4.386666666666667,[['Tee']],2017-07-09_15-12-50_UTC,10992,79,[[['print']]]
1556215750183965778,3.890625,[['Dress']],2017-07-11_01-09-55_UTC,10693,67,"[[['floral', 'print']]]"
1560475843704650615,4.163265306122449,[['Tee']],2017-07-16_22-13-58_UTC,6794,57,[[['print']]]
1563400608631143832,4.492307692307692,[['Dress']],2017-07-20_23-04-57_UTC,7238,66,[[['print']]]
1567082982275405892,3.7058823529411766,[['Dress']],2017-07-26_01-01-10_UTC,6521,73,"[[['floral', 'print']]]"
1567537228175374026,4.0,[['Dress']],2017-07-26_16-03-41_UTC,8299,64,"[[['floral', 'print']]]"
1567755299552866793,4.5,[['Jacket']],2017-07-26_23-16-57_UTC,9849,57,"[[['floral', 'print']]]"
1568316104321053786,4.309523809523809,[['Tee']],2017-07-27_17-51-10_UTC,7499,44,[[['print']]]
1574054195744856821,4.181818181818182,[['Dress']],2017-08-04_15-51-44_UTC,7151,73,[[['print']]]
1580830289898515632,4.377777777777778,[['Shorts']],2017-08-14_00-14-37_UTC,5789,48,"[[['floral', 'print']]]"
1588076550473173485,4.0,[['Tee']],2017-08-24_00-11-39_UTC,8213,51,[[['print']]]
1588832670968648947,4.072289156626506,[['Jacket']],2017-08-25_01-13-55_UTC,11544,95,"[[['floral', 'print']]]"
1593930945358725319,4.317073170731708,[['Tee']],2017-09-01_02-03-17_UTC,4828,42,[[['print']]]
1601109834162216887,4.63855421686747,[['Tee']],2017-09-10_23-46-27_UTC,11427,87,"[[['floral', 'print']]]"
1604697158494012113,4.574561403508772,[['Shorts']],2017-09-15_22-33-49_UTC,11075,242,"[[['floral', 'print']]]"
1610288205286820255,4.444444444444445,[['Tee']],2017-09-23_15-42-14_UTC,9737,60,"[[['floral', 'print']]]"
1611022608849782128,3.8297872340425534,[['Skirt']],2017-09-24_16-01-22_UTC,7397,56,"[[['floral', 'print']]]"
1614850659194878169,4.0,[['Dress']],2017-09-29_22-47-01_UTC,11909,125,"[[['floral', 'print']]]"
1618512904550459838,4.179856115107913,[['Jacket']],2017-10-05_00-03-15_UTC,10636,146,[[['print']]]
1622207597729807625,4.217391304347826,[['Dress']],2017-10-10_02-23-56_UTC,6203,56,"[[['floral', 'print']]]"
1622966104263231481,3.921641791044776,[['Sweater']],2017-10-11_03-30-57_UTC,9027,277,"[[['floral', 'print']]]"
1631499143423590222,4.383561643835616,[['Skirt']],2017-10-22_22-04-35_UTC,13088,80,"[[['floral', 'print']]]"
1632984551470894348,3.934210526315789,[['Dress']],2017-10-24_23-15-49_UTC,11363,86,[[['floral']]]
1635099377596733298,4.093023255813954,[['Blouse']],2017-10-27_21-17-36_UTC,10283,46,"[[['floral', 'print']]]"
1635239116278833407,4.173076923076923,[['Skirt']],2017-10-28_01-55-15_UTC,9558,57,"[[['floral', 'print']]]"
1636339851779143296,4.166666666666667,[['Skirt']],2017-10-29_14-22-12_UTC,9463,33,"[[['floral', 'print']]]"
1638157326842001516,4.282051282051282,[['Sweater']],2017-11-01_02-33-12_UTC,7956,45,"[[['floral', 'print']]]"
1638865875456999883,4.242424242424242,[['Blouse']],2017-11-02_02-00-58_UTC,5034,35,[[['floral']]]
1648956513355435202,4.581769436997319,[['Jeans']],2017-11-16_00-09-16_UTC,11201,391,[[['print']]]
1654758770541875843,3.866666666666666,[['Dress']],2017-11-24_00-17-19_UTC,11666,108,"[[['floral', 'print']]]"
1658375375771500154,4.488636363636363,[['Jacket']],2017-11-29_00-02-52_UTC,11281,93,"[[['floral', 'print']]]"
1662719587610573984,4.0701754385964914,[['Jacket']],2017-12-04_23-54-02_UTC,12267,69,[[['print']]]
1662736708566575016,4.326086956521739,[['Dress']],2017-12-05_00-28-03_UTC,11733,49,"[[['floral', 'print']]]"
1663447254282761048,4.0,[['Skirt']],2017-12-05_23-59-47_UTC,8686,54,[[['print']]]
1664202194349239376,3.3095238095238093,[['Tee']],2017-12-07_00-59-42_UTC,10640,50,[[['floral']]]
1664908923777145101,4.340909090909091,[['Dress']],2017-12-08_00-23-51_UTC,6813,51,"[[['floral', 'print']]]"
1666826716525117125,4.694915254237288,[['Blouse']],2017-12-10_15-54-10_UTC,8617,65,[[['print']]]
1678687172797810029,4.2926829268292686,[['Sweater']],2017-12-27_00-38-46_UTC,11566,90,"[[['floral', 'print']]]"
1684155655190989696,3.923076923076923,[['Blouse']],2018-01-03_13-43-40_UTC,6847,58,[[['print']]]
1684480702719784103,4.223529411764706,[['Dress']],2018-01-04_00-29-29_UTC,11160,100,"[[['floral', 'print']]]"
1685163560677473066,4.205479452054795,[['Dress']],2018-01-04_23-06-12_UTC,16140,84,"[[['floral', 'print']]]"
1685568167006385164,4.080645161290323,[['Blouse']],2018-01-05_12-30-05_UTC,11514,68,[[['print']]]
