post_id,sentiment_label,prediccion,date_local,likes,comments,textura,Usuario
2436768575995168110,4.585365853658536,"[['Shorts'], ['Tee'], ['Blouse'], ['Jeans'], ['Tee']]",2020-11-06_23-31-12_UTC,1858,42,"[[['print']], [['print']], [['floral', 'print']], [['floral']], [['print']]]",anabelizam
2439557980809959490,5.0,[['Jacket']],2020-11-10_19-53-15_UTC,321,1,[[['floral']]],anabelizam
2440483800015457194,4.7105263157894735,[['Dress']],2020-11-12_02-32-41_UTC,1822,38,[[['floral']]],anabelizam
2440986872999405163,5.0,[['Skirt']],2020-11-12_19-12-12_UTC,869,7,[[['floral']]],anabelizam
2450438511560929966,4.782608695652174,"[['Tee'], ['Tee'], ['Shorts'], ['Tee']]",2020-11-25_20-10-55_UTC,2628,25,"[[['floral']], [['print']], [['print']], [['print']]]",anabelizam
2450620285364632020,4.6,"[['Sweater'], ['Sweater']]",2020-11-26_02-12-04_UTC,1072,17,"[[['floral']], [['print']]]",anabelizam
2453251214809522979,4.529411764705882,"[['Shorts'], ['Jacket']]",2020-11-29_17-19-16_UTC,3474,34,"[[['floral', 'print']], [['floral', 'print']]]",anabelizam
2459128660389813266,4.75,"[['Tee'], ['Skirt'], ['Skirt']]",2020-12-07_19-56-42_UTC,2193,4,"[[['print']], [['print']], [['floral', 'print']]]",anabelizam
2459875760136355888,4.590909090909091,[['Dress']],2020-12-08_20-41-03_UTC,1682,23,[[['print']]],anabelizam
2463530989050654395,4.833333333333333,[['Shorts']],2020-12-13_21-43-20_UTC,1644,24,"[[['floral', 'print']]]",anabelizam
2463579720076602566,4.714285714285714,"[['Blouse'], ['Blouse'], ['Skirt'], ['Jeans'], ['Skirt'], ['Dress'], ['Tee'], ['Tee'], ['Shorts']]",2020-12-13_23-20-09_UTC,1858,14,"[[['floral', 'print']], [['floral']], [['print']], [['floral']], [['floral', 'print']], [['floral']], [['print']], [['print']], [['floral']]]",anabelizam
2463591189409305325,5.0,[['Jacket']],2020-12-13_23-42-57_UTC,1046,7,[[['print']]],anabelizam
2469472025488896605,4.484848484848484,"[['Jacket'], ['Shorts'], ['Tee'], ['Dress']]",2020-12-22_02-27-07_UTC,1894,33,"[[['floral']], [['floral', 'print']], [['print']], [['print']]]",anabelizam
2469834867001913409,4.722222222222222,[['Shorts']],2020-12-22_14-28-01_UTC,811,18,[[['print']]],anabelizam
2470097336614231268,4.714285714285714,[['Tee']],2020-12-22_23-09-30_UTC,741,7,"[[['floral', 'print']]]",anabelizam
2472240865494741152,4.7317073170731705,"[['Jacket'], ['Skirt'], ['Jeans'], ['Skirt'], ['Skirt']]",2020-12-25_22-08-18_UTC,4162,41,"[[['floral']], [['floral', 'print']], [['floral']], [['floral', 'print']], [['print']]]",anabelizam
2475992696930914838,4.708333333333333,[['Skirt']],2020-12-31_02-22-32_UTC,3478,24,[[['print']]],anabelizam
2477225519033606649,5.0,"[['Dress'], ['Dress'], ['Skirt']]",2021-01-01_19-11-55_UTC,2593,10,"[[['floral']], [['print']], [['print']]]",anabelizam
2479331852490849341,3.8,[['Blouse']],2021-01-04_16-56-50_UTC,847,22,[[['print']]],anabelizam
2480729117491015697,4.5,[['Dress']],2021-01-06_15-12-57_UTC,1531,8,[[['print']]],anabelizam
2490281432082394431,4.775280898876405,"[['Skirt'], ['Top']]",2021-01-19_19-31-42_UTC,4006,91,"[[['graphic']], [['floral']]]",anabelizam
2503178785131009665,4.844444444444444,"[['Top'], ['Top'], ['Jacket'], ['Jacket'], ['Blouse'], ['Tee'], ['Top'], ['Sweater'], ['Skirt'], ['Blouse']]",2021-02-06_14-36-26_UTC,3207,79,"[[['print']], [['floral', 'print']], [['floral', 'print']], [['print']], [['print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral']], [['floral', 'print']]]",anabelizam
2512571563522828024,4.512820512820513,[['Jacket']],2021-02-19_13-38-12_UTC,2481,40,[[['floral']]],anabelizam
