mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
3223801041182854342,,anabelizam,2023-10-28_21-04-13_UTC,6,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/397332904_723201316509943_7901182094604426837_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=8RfSQgMRx4gAX-u4M7R&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMzgwMTAzNjM1OTU4NDM2Ng%3D%3D.2-ccb7-5&oh=00_AfBzFAXsYp7pBo7ABq8Bl6CNeZDeDMIDSNHLQjygA55-Ag&oe=654F3352&_nc_sid=8b3546,"How many dreams can you dream in one year? I see you ✨ Celebrating @michaelkors 1 year anniversary w/ lovely and talented women. 

Thank you forever @ayku @andreactello @adriannadellavalle @lapregonera.co @vickypavajeau @samanthatams 

As seen by @elojodejuan @juanmoore",[],"['michaelkors', 'ayku', 'andreactello', 'adriannadellavalle', 'lapregonera.co', 'vickypavajeau', 'samanthatams', 'elojodejuan', 'juanmoore']","['michaelkors', 'laura_tobon', 'talianav', 'juliepardau', 'daniellearciniegasmartinez', 'vanessadominguez', 'andreabuitragov', 'nicolesjaar', 'journeyinpairs', 'lusianarango']",1641,34,False
3219505326217530577,,anabelizam,2023-10-22_22-49-24_UTC,10,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/394253904_1012472516725691_8639229795882417799_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=wVPxzAgVJRIAX9viylE&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxOTUwNTMxOTk0Mjk3NTE1NA%3D%3D.2-ccb7-5&oh=00_AfCQ08RsAMCkV-JRGB-zmt3sW-99xsnk-nxivsCddsmR8Q&oe=654D85D1&_nc_sid=8b3546,"#SEVENSEVENXANABELIZA 🖤 

Mi primera colaboración, diseñada desde cero por mi y shooteada en Jackson Heights, Queens, New York! 🖤

Todavía sigo sin poder creer que esto es una realidad. Gracias totales con todo mi corazón por siempre. A un equipo que confió en mí desde el primer día y a otro equipo que nos dio en un día, TODO lo que tenía. Por siempre, GRACIAS. 

Gracias a todos y cada uno de ustedes por el amor, el tiempo y los buenos deseos que le han mandado a este proyecto, no tengo palabras para decirles lo que esto es para mí, a ustedes también por siempre gracias.

Ps. El último video fue el momento en el que después de estar arriba desde 3:00 am Andres dijo: DONE! Wow ya era un hecho! Wow wow wow 

Team: 
@anabelizam x @sevenseven 
Manager @vickypavajeau 
Photography & video director @andresoyuela 
Hair and Makeup by @laupantoja 
Video editor @jaycorzo 
Photo Assistant @juancuartasphoto @brianrodriguezph 
Producer @danielle.work_ 
Styling Assistant  @ricaalucas @julianascgl",['sevensevenxanabeliza'],"['sevenseven', 'vickypavajeau', 'andresoyuela', 'laupantoja', 'jaycorzo', 'juancuartasphoto', 'brianrodriguezph', 'danielle.work_', 'ricaalucas', 'julianascgl']","['sevenseven', 'laupantoja', 'andresoyuela', 'vickypavajeau', 'verorumie', 'julianapzg']",5285,111,False
3215725947180861112,,anabelizam,2023-10-17_17-40-27_UTC,4,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/393280781_344437751392464_7223775502293625487_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=TMOK9qhUXtIAX_eQxnU&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNTcyNTk0MjA2Mzg5MDQ1Nw%3D%3D.2-ccb7-5&oh=00_AfBpL6cb_JB9IEv7j8ayhphL6o-2hWdwPv0HAva0VXMFzQ&oe=654DFD2F&_nc_sid=8b3546,"A little too early to share a little too late the @miumiu afterparty affairs with a look powered by @farfetch merciiiiii @karjauregui @thebarelyallure 🫶

Ps. Mis zapatos salen bailando por dos segundos en el video oficial. 

#onlyonfarfetch",['onlyonfarfetch'],"['miumiu', 'farfetch', 'karjauregui', 'thebarelyallure']","['miumiu', 'farfetch', 'ninarodriguezmusica']",2460,28,False
3215314788082039485,,anabelizam,2023-10-17_04-03-33_UTC,5,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/393278523_1075747710505011_6194247100333505140_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=QxPvfcMfCn8AX_5kwHY&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNTMxNDc4Mzc4NzIyNDE2NQ%3D%3D.2-ccb7-5&oh=00_AfAVJrPiZ0-H9jUIIhhZLhqfQFcBk7-L-A9eHNyT1CIcOw&oe=654EAE47&_nc_sid=8b3546,@macondia_ from colombia.,[],['macondia_'],['macondia_'],2552,14,False
3214449321922421116,,anabelizam,2023-10-15_23-24-01_UTC,3,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/391112615_679691134101302_5097132759833587715_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Q1USLFvW7HEAX_ggYEE&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDQ0OTMxNzA0ODU1ODE3Ng%3D%3D.2-ccb7-5&oh=00_AfBjkqqN-OQwnqoJKgk50aH6Gt37VdooktO8eAktiWY0kA&oe=654EFF73&_nc_sid=8b3546,Latins in paris ft un layer game importante @andrealandaofficial @thenylonclub @mazmanuelaalvarez @ds_danielasalcedo,[],"['andrealandaofficial', 'thenylonclub', 'mazmanuelaalvarez', 'ds_danielasalcedo']","['ds_danielasalcedo', 'thenylonclub', 'andrealandaofficial']",1855,16,False
3214420597164340858,,anabelizam,2023-10-15_22-26-57_UTC,4,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/391321146_340799098479083_3064323636213217789_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=CprqBxDqVZQAX9akhwJ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDQyMDU5MDMwMjQ4Nzc5Ng%3D%3D.2-ccb7-5&oh=00_AfBLfEIob0L97oUhdfaQDEeKr0sG0Oa_DsqSIUTPsA1FBg&oe=654DDD14&_nc_sid=8b3546,"Finalmente, a lo que vinimos 🌞
Talento local @beatrizcamacho3 @noralozza",[],"['beatrizcamacho3', 'noralozza']","['chanelofficial', 'beatrizcamacho3', 'noralozza']",2471,19,False
3207105484423045604,,anabelizam,2023-10-05_20-13-08_UTC,10,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386147887_289411460552982_800346380778162376_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ryOofQnxx4QAX-Bcjzs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCNmTBmF7YDmoJoJ0mLtRWfBme3K1pIbgZLFz0LarR18w&oe=654E5216&_nc_sid=bc0c2c,"Chanel Day  and my heart is full! 🖤 Merciiiii  @chanelofficial 🖤 #chanelspringsummer 

Ph @andresespinosaphoto 🖤
Glam @salvadorgonzalezmakeup 🖤",['chanelspringsummer'],"['chanelofficial', 'andresespinosaphoto', 'salvadorgonzalezmakeup']",['salvadorgonzalezmakeup'],2963,70,False
3202883222809741051,,anabelizam,2023-09-30_00-24-15_UTC,3,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/384240383_1010167127076419_4729296900996012540_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=QqcjHD53ixsAX_6pj-4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCgFYuB7EO-_RWr00fyZGoovDlG7R0I-MIyhs1UviGrmQ&oe=654E0067&_nc_sid=bc0c2c,A lion in the city 🌞 Paris Fashion Week essentials w/ @farfetch part 1: Good Shoes. #onlyonfarfetch,['onlyonfarfetch'],['farfetch'],"['ysl', 'farfetch', 'carelparis', 'ateliercrump', 'sebastiangcardone']",1953,20,False
3202156445313439575,,anabelizam,2023-09-29_00-20-16_UTC,7,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/384113065_307851808531155_4383760234994572230_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=9RpqFfxLX28AX-QdRMc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBZ7QMVehmysenH6Eh9jKErOd6g0EJIcT1LyV7fOSPgAw&oe=654E7732&_nc_sid=bc0c2c,"A #myslf soir avec @yslbeauty 🖤 

#ad","['myslf', 'ad']",['yslbeauty'],"['yslbeauty', 'lapregonera.co', 'sebastiangcardone', 'caritoarez']",1878,70,False
3199233750057797279,,anabelizam,2023-09-24_23-33-24_UTC,10,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/382555301_1388356081718898_6751168343649552954_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=GNelZTspL60AX-naQeI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeinxCpOo9aeKi2D2mE1jwY1dCAcofMrEiY239lyHmFw&oe=654D5A9E&_nc_sid=bc0c2c,"Ms. Miuccia Prada tuvo un abuelo que en 1913 decide montar una compañía a la que llamó Fratelli Prada. En uno de sus tantos viajes coleccionó objetos con personalidad única que alimentaban su imaginario. 

De este archivo, nace el herraje maravilloso de una “ugly face” que hace parte de las carteras de la colección Spring 24 de @prada , una colección en donde la dupla maravilla ( Raf y Miuccia ) decidió concentrarse en las prendas y su construcción, manteniéndose fieles a su adn de marca. 

En esta ocasión hicieron el ejercicio de soltar por completo el discurso, dejando que las piezas hablaran por sí solas y haciendo un guiño al proceso de la sastrería, el amado uniforme utilitario y el aclamado “Hazel” o textil “cotton candy” que se deshace en tus manos y que se entiende a nivel de escenografía como Slime. 

Una muestra absolutamente increíble de principio a fin. Grazie mille @prada @karjauregui @thebarelyallure por esta linda invitación. Acompañada por mi talento local que nunca me falla @mazmanuelaalvarez 

(Ps. Les pido con amor que vayan a @voguerunway y vean toda la pasarela y simplemente anoten las percepciones que tienen, luego regresen y estudien lo que salió, seguro es una conclusión increíble. )",[],"['prada', 'prada', 'karjauregui', 'thebarelyallure', 'mazmanuelaalvarez', 'voguerunway']","['prada', 'mazmanuelaalvarez']",2103,31,False
