mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
3218817341307606734,,belenegri,2023-10-22_00-02-30_UTC,2,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/393533229_1498586327564431_7151935666144600702_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=hNcYAyqbmE8AX85JeK5&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxODgxNzMzNTkyMjI1MzgwMg%3D%3D.2-ccb7-5&oh=00_AfD2uXeCa5Go_32NSvpMUWpuxjsd5jacWH162179ccrppQ&oe=653D7D5F&_nc_sid=8b3546,Selfie,[],[],[],259270,503,False
3207294882905542946,,belenegri,2023-10-06_02-29-26_UTC,3,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/386578651_1269270607079306_8525237020772390172_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Zsw2VcZTKLQAX-DGwZF&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzI5NDg3ODMzMzY1ODc5Mg%3D%3D.2-ccb7-5&oh=00_AfB_Qpl-zNKzPUaFNFx47eh7zbHPpQplU7IsbL9WFv-7Eg&oe=653C7936&_nc_sid=8b3546,🕊️🤍,[],[],['kingofthekongo'],318629,504,False
3115165281417420564,,belenegri,2023-05-31_23-44-21_UTC,4,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/350933213_799319911407409_7918181291295018224_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=MBGATzh7wJYAX__c-d-&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExNTE2NTI3NTgxMzc1MzExOQ%3D%3D.2-ccb7-5&oh=00_AfDkvD8wmNskQ1MDXrSC-rxRnQCe5ie9mdfGn-rSIx_Flw&oe=653D3708&_nc_sid=8b3546,Digitalesss d hoy 🧡,[],[],['eh_mkp'],451110,637,False
3108644839294741594,,belenegri,2023-05-22_23-49-24_UTC,2,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/348302443_624738426372874_82508558539959443_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=ZzfUVcau8WEAX-bHjhy&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwODY0NDgzNTM4NTQ3NTIyNQ%3D%3D.2-ccb7-5&oh=00_AfAGjuhq_4fymGkh_hvFsXa3OJgz3swTVp6X6Rq0fNVdHw&oe=653D2F42&_nc_sid=8b3546,Suavecita,[],[],['kingofthekongo'],478081,753,False
3099963399278197762,,belenegri,2023-05-11_00-20-56_UTC,6,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/346220924_141223762265490_7816272045677359026_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ErRP52qD97cAX9b0a_M&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA5OTk2MzM5NDcwNjQ3NDcxMg%3D%3D.2-ccb7-5&oh=00_AfCu4PZTe0gIl95XzrncXpu2rB_oDBHOLfjvsk8fR7UzzQ&oe=653CE117&_nc_sid=8b3546,Conmigo viaja a paris bebe,[],[],['tiagopzk'],474254,682,False
3081844580575942710,,belenegri,2023-04-16_00-22-04_UTC,3,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/329948451_204517152301449_4950656573385572154_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=XDxr4ZlSE8IAX-Ij14U&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4MTg0NDU3NTYwMTUzMzUxNw%3D%3D.2-ccb7-5&oh=00_AfAJBUB1-pspkCl7SXbExAWkrYyj80zZaJ2j_MSPlWwJ1A&oe=653DABB5&_nc_sid=8b3546,Eye fishhhh ✌🏼,[],[],[],318415,438,False
3076058248767594934,,belenegri,2023-04-08_00-45-40_UTC,2,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/339829526_210429834929513_4976606415003194861_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=uryfQqZOAtYAX_DWgAh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA7lp4dZDnZ1a4b9AaKKG3NP_WmSnUdGnjdVXra-UUhOA&oe=653C4B5A&_nc_sid=bc0c2c,Soy una espía,[],[],['maggox.ba'],546371,1051,False
3073847980708827274,,belenegri,2023-04-04_23-34-15_UTC,3,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/339519459_738417177882515_3778633200980024125_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=93098SZ-eigAX98kCTs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGv4Sn-YICWq71nMoprjBlGXtS0Xui1e-hETk6Oqx5Aw&oe=653CC3C6&_nc_sid=bc0c2c,Modelando las tn,[],[],[],309417,526,False
3070931799464172676,,belenegri,2023-03-31_23-00-19_UTC,3,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/338619729_1966598477022657_91937408651291892_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=1O6yGY5NBuEAX_dKBrP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBg7rfk9TJCM9LcWKZLf0H9gByNTNAcSWLIyxRjIhC_-g&oe=653C6F78&_nc_sid=bc0c2c,Blü ⛓️,[],[],['uzi_jewels'],237249,416,False
3060081863242740405,,belenegri,2023-03-16_23-43-26_UTC,4,https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-15/336063985_1172578316809911_1419410479744362359_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0f0Un_28m9sAX-kxYHq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCsT-ok0Tpd5s4XM5a8XSvY0Htv9gbHXZzzVZB1LQ71kQ&oe=653D28CC&_nc_sid=bc0c2c,Piketú,[],[],[],539907,879,False
