mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
3220847330290372365,,domelipa,2023-10-24_19-15-43_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/395626803_18408624340006764_9222818985955371545_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=v3UjkbOK6-YAX_UAcEe&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyMDg0NzMyNDk5NzIxMzU4MQ%3D%3D.2-ccb7-5&oh=00_AfBoE93kzSkUc3y_smkKRf8GscB87_A8vDrZPrImGp4IZg&oe=653E292B&_nc_sid=8b3546,odio el naranja pero no me queda mal :p,[],[],"['fedevigevani', 'ianlucas', 'lukas.urkijo', 'itscarlitozz', 'iam.yankee']",678714,1311,False
3220847330290372365,,domelipa,2023-10-24_19-15-43_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/395626803_18408624340006764_9222818985955371545_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=v3UjkbOK6-YAX_UAcEe&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyMDg0NzMyNDk5NzIxMzU4MQ%3D%3D.2-ccb7-5&oh=00_AfBoE93kzSkUc3y_smkKRf8GscB87_A8vDrZPrImGp4IZg&oe=653E292B&_nc_sid=8b3546,odio el naranja pero no me queda mal :p,[],[],"['fedevigevani', 'ianlucas', 'lukas.urkijo', 'itscarlitozz', 'iam.yankee']",680254,1312,False
3220242582478664208,,domelipa,2023-10-23_23-14-12_UTC,4,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/392951305_18408463450006764_466938927312150822_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=SAizU1frfBcAX-zcfKY&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyMDI0MjU3NTQ1NzQyNzYxOQ%3D%3D.2-ccb7-5&oh=00_AfCXOLWPxS6sXz5bzdv6y2QLLaJLCBeXYunvHc1VtGFVIg&oe=653E8D0D&_nc_sid=8b3546,toptoptoptop,[],[],['bizarrap'],781088,2106,False
3218900369353940882,,domelipa,2023-10-22_02-47-27_UTC,4,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/395138219_18408110395006764_1074023499310864868_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ivWCYWSGMhcAX9gmIAM&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIxODkwMDM2MTk0NjgwMTI0Ng%3D%3D.2-ccb7-5&oh=00_AfDYkOyvSrTwyJqGCQvl-i4PwRO7qzBJwKPXcEBV6khKFg&oe=653E1F03&_nc_sid=8b3546,¿?,[],[],['adidasmx'],531995,1303,False
3218104674627862445,,domelipa,2023-10-21_00-26-33_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/394247864_18407892868006764_7538464179694323122_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=jfjyiDc36FMAX9LZZar&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIxODEwNDY3MDI0ODkwMzkyMw%3D%3D.2-ccb7-5&oh=00_AfBFFkW36eYn9ThAUNIL4T1XusBTD2Z8cSxG5FCkS8ZiXA&oe=653E7E15&_nc_sid=8b3546,,[],[],[],901709,1875,False
3207954834967032496,,domelipa,2023-10-07_00-20-38_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/386510892_18405258562006764_915253303394233303_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=_ks_vKUleAUAX-usUir&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIwNzk1NDgyOTQ3MjY4Mzk0Mw%3D%3D.2-ccb7-5&oh=00_AfCNFELTHQwfuMsdEl7cDuTm3GXvBj6E3GFXSzxeJx9P0w&oe=653E745A&_nc_sid=8b3546,☀️,[],[],[],1266998,2514,False
3202864674131016507,,domelipa,2023-09-29_23-47-24_UTC,7,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/382784315_18403955755006764_5857072915439750888_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=cfrsx0jOjYYAX9imWZ9&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIwMjg2NDY2NTY3NTI5NjgyOA%3D%3D.2-ccb7-5&oh=00_AfB35OhnFo81S4L3wgUtTmT0osuZL008raMwEFSosPDJ2g&oe=653DF03B&_nc_sid=8b3546,🖤,[],[],"['sebas', 'pipebueno', 'carloscasas____']",807946,1710,False
3190998961397408390,,domelipa,2023-09-13_14-52-20_UTC,2,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/375946657_18400815103006764_2399946490887176260_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=6Sz0mfVg8UgAX_kz3em&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5MDk5ODk1Njg1MDU1NTk5Mg%3D%3D.2-ccb7-5&oh=00_AfBX_X_qCzcQaZy1XTz9k4S3ABaZUSxHNHOgP4sqMrQOoQ&oe=653E6FC3&_nc_sid=8b3546,Unas fotos antes de que me diera un “golpe de calor” jajajaj y me enfermara de temperatura 🥲🫶🏻,[],[],[],688332,1825,False
3190391375710970185,,domelipa,2023-09-12_18-45-11_UTC,2,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/375973269_18400673314006764_8937497396042774112_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GJOczsGQG-YAX8PQmFQ&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5MDM5MTM3MDQ5MzI4NTU2OA%3D%3D.2-ccb7-5&oh=00_AfDtQdsRad2vjff3AVTMhUve6ogEU0cZs_mpPN3u1gathA&oe=653E338F&_nc_sid=8b3546,"Foto 1 o 2🫶🏻🩵🩵🩵 

@liverpool_mexico 
#TodoenLiverpool #thatsit #hollister","['todoenliverpool', 'thatsit', 'hollister']",[],[],798323,2458,False
3187603695378025511,,domelipa,2023-09-08_22-26-33_UTC,1,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/375949601_18399939412006764_1649532258046333488_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0Njkuc2RyIn0&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Kn_Wf3y16oIAX9YLVzv&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4NzYwMzY5NTM3ODAyNTUxMQ%3D%3D.2-ccb7-5&oh=00_AfD6gyHwm0u5J52rWGG6KGkVcaIsUG3yxrFz8ODR4cspwQ&oe=653D68B3&_nc_sid=fc8dfb,,[],[],[],684933,2436,False
