mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
3214913405461494889,,tutivargasm,2023-10-16_14-46-04_UTC,4,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/393302431_18387140302047058_1583138938761039871_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=t3ABdTm4LvwAX8X6w67&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIxNDkxMzM5OTQ4ODc5MTcxNg%3D%3D.2-ccb7-5&oh=00_AfCq6mgpIaWYeF9VD17UpQeNOOMD69rg0Y87zacjuCq5hg&oe=6540B653&_nc_sid=8b3546,"¿🫀Lo ven? 
Santiago, Rancho ecológico Sol de Mayo. (Queda a una hora al norte de San José del Cabo en carro). Es 😍😍😍
—————————————————————————————
@visitaloscabos_mx #LosCabos",['loscabos'],[],['visitaloscabos_mx'],7657,31,False
3202609016412337065,,tutivargasm,2023-09-29_15-19-27_UTC,1,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/382595359_18383975770047058_7038022710250041864_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2NDUuc2RyIn0&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=fY_DmweRx7kAX_P2jg0&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIwMjYwOTAxNjQxMjMzNzA2NQ%3D%3D.2-ccb7-5&oh=00_AfC1jGalItek1AtdfnEX8JoRwmx6guw0vQkeK9gYp-w59A&oe=6540BA24&_nc_sid=fc8dfb,"Poco se habla de lo imparable que te vuelves cuando (te) quieres. 
Cada uno busca la forma de hacerlo.
Imparable en construir y solidificar el amor propio, tus limites, prioridades, sueños lo que sea que te mueva a pararte cada mañana. 
En ponerte a TI de primeras, ser fiel a ti, a eso que tanto te ha costado conseguir y por lo que tanto haz trabajado. 
Imparable en seguir buscando y encontrando esas cosas que te llenan el alma, que te hacen feliz que te dan un abrazo y te hacen sentir orgulloso de ti.
Quiérete tanto que eso que te hacía sentir débil y frágil se convierta en tu fuerza y esas ganas de querer ser siempre mejor, en tu historia y versión. 🙌🏼
Así a instagram no le guste ver sólo una foto para mi es suficiente verme hoy con esa disciplina que pensé no estaba ya, con esas ganas de saber que la única competencia y comparación es conmigo misma y punto.",[],[],['adidasco'],15199,104,False
3197108441083638345,,tutivargasm,2023-09-22_01-10-47_UTC,2,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/380746547_18382565995047058_2665222502484944264_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WiHpwhWfZXUAX8yZCgv&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5NzEwODQzNTE2MTI4MjgyMQ%3D%3D.2-ccb7-5&oh=00_AfAT5Qcy1P_fCJ9OZpeB2rpnPwVytfmaB14M-jN4rnP7Xg&oe=653FE070&_nc_sid=8b3546,"A mi no me curó el tiempo, me curé yo.

Me curó levantarme cada mañana pensando que lo conseguiría, que podía.

Me curó la risa de mis papás.
Las salidas con mis amigas.
Las películas un viernes.
Los vinos un sábado.
El ejercicio un lunes.

Me curó esa canción, ese mensaje, esa oración.
Me curó el mar, mirar el cielo, las estrellas, los atardeceres.

Me curó pedir perdón y perdonarme 🫀.
___________________________________
@luciahormigo 🫶🏻",[],[],['onesantuario'],10784,60,False
3188920324347756762,,tutivargasm,2023-09-10_18-02-28_UTC,4,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/377790242_18380539330047058_7037565782992535387_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=nMtC2XsBC-gAX8lt8fy&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDmxYw3pN-Epe-NYVioHQUtUZUaD5mpv95zJ_pBt2TbtQ&oe=6541ACAE&_nc_sid=bc0c2c,En la playita quiero vivir yo 🎶🌞🌊👙 @ancoraswimwear,[],['ancoraswimwear'],['ancoraswimwear'],24886,114,False
3180404575667700697,,tutivargasm,2023-08-30_00-03-11_UTC,1,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/370162334_18378315016047058_2742150553747183057_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3NTkuc2RyIn0&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=3J4hLiA8lWkAX99X60P&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4MDQwNDU3NTY2NzcwMDY5Nw%3D%3D.2-ccb7-5&oh=00_AfBxXkMmUrEgGsYJdDCvN5Va7pzGOsPYT72vaLof3d7hVQ&oe=6540B1E0&_nc_sid=fc8dfb,Con el 🫀 aquí.,[],[],['thaikila'],15913,84,False
3179320055858606475,,tutivargasm,2023-08-28_12-08-26_UTC,4,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/371325714_18378039895047058_1820841907938984354_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=NO9OVNXk3QUAX9zjCht&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDqZqdYB_SM38LtaCr4IhWNErFBd7a6O-vnMLVHgQnjiw&oe=65418710&_nc_sid=bc0c2c,"Amo mi HOY. 🧘🏼‍♀️🌙👩🏼‍💻💃🍃⚖️ 
@tauhouse.col 

📸: @josesotoval",[],['josesotoval'],['tauhouse.col'],6083,49,False
3156515550997394976,,tutivargasm,2023-07-28_00-59-58_UTC,2,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/361917496_18372030493047058_3381215020850303172_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=qCcVrXsnt7wAX_wM_x2&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDVnlOTPTSUcwozDS7BqeBjQMVcZCnPTMylHwjYheZ1CA&oe=65419963&_nc_sid=bc0c2c,🪐🧸,[],[],[],15948,86,False
3155769079448540663,,tutivargasm,2023-07-27_00-16-51_UTC,2,https://scontent-ams4-1.cdninstagram.com/v/t39.30808-6/363769558_18371839192047058_5153285288981976424_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=sK3bh0OWiboAX-j4ngl&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCslYD8xV10NcK4b5QdBkEyX_WdWVNz6XSizZXTJ5tdYw&oe=65409EE6&_nc_sid=bc0c2c,Un día por ahí en una playita 👽🌞✌🏼💦,[],[],[],16815,149,False
3148190133811485033,,tutivargasm,2023-07-16_13-18-50_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t51.2885-15/361131084_693615759251742_5759850593681623054_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=rYl8_UvdjsMAX_0ILTH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWo8LFFKW67o5O9w8HPwfYuVFfDt_PwPSSHRpB3ycU3Q&oe=653FE4B0&_nc_sid=bc0c2c,"Arenita, mar y despeluque 🤌🏼👙🌊🌞🧜🏻‍♀️🪸🐚 @entreaguas_wearableart",[],['entreaguas_wearableart'],['entreaguas_wearableart'],32044,175,False
3098147674061798941,,tutivargasm,2023-05-08_12-13-24_UTC,3,https://scontent-ams2-1.cdninstagram.com/v/t51.2885-15/345237187_928555578391864_8444258612454945444_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=3wgQizeleWwAX_xkx4H&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDUtU2cQmp54XXhKbBetAuoZLOhPv2wVyeOMHk0vj8vTw&oe=6540DB94&_nc_sid=bc0c2c,"Les presento a @flow_yoga_journey mi profesora de yoga flow!!! uds no se saben lo que fue ella en mi yoga TTC, era la única que hablaba español y estuvo siempre cerquita motivándome, dándome consejos, enseñándome y las mejores clases sin duda fueron con ella, eso es lo que quiero hacer un tiempo que es vinyasa flow es un tipo de yoga donde las asanas (posturas) se sincronizan con la respiración! Es puro movimiento consciente! Es full fuerza, flexibilidad y resistencia física! Si quieren sudar de verdad háganse una clasecita de estas 💦🙌🏼🦋.",[],['flow_yoga_journey'],['flow_yoga_journey'],9723,30,False
3097816390233331714,,tutivargasm,2023-05-08_01-15-12_UTC,1,https://scontent-ams4-1.cdninstagram.com/v/t51.2885-15/345510822_616548860367321_5256286897986972927_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=109&_nc_ohc=hBZbxEcCTNcAX-X1SW-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA5NzgxNjM5MDIzMzMzMTcxNA%3D%3D.2-ccb7-5&oh=00_AfDBQrmeh2dBJOJDAXxau82vftdTZYAsM3_Hl1apjsjVtg&oe=653FD457&_nc_sid=fc8dfb,"Hay un estar de vuelta a la vida que se siente como un fuego interno, un deseo de recuperar el tiempo perdido con la sensación de ser más grande, una sonrisa que expresa que ya no duele  y una mirada que dice que la noche oscura ha terminado. 
Cuando ya nada te hala hacia abajo, la fuerza que hacías para no hundirte ahora te hace volar, te limpias el barro y ves que hasta las cicatrices te quedaron hermosas, ya no es fácil destruirte.
📝: @efrenmartinezo 🤍",[],['efrenmartinezo'],[],16679,92,False
3067875249585039246,,tutivargasm,2023-03-27_17-47-30_UTC,9,https://scontent-ams2-1.cdninstagram.com/v/t51.2885-15/337925881_533853762167105_2776345954113038106_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=rdFidk0Gro0AX_yDu8n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCCNh7TElAhgHEB1adlwY1IYiM4Jx1-dPVFxXEzgAClvg&oe=65410A10&_nc_sid=bc0c2c,4 días de darla toda!!!! 👾👽♥️ ahora si a dormir 😆 #FEP2023 🧨,['fep2023'],[],"['adidasco', 'marcelarecicladora', 'thechemicalbrothers', 'saju', 'josesotoval', 'diego_pachon', 'bymartinlopez', 'elsimonelias', 'santiagopuentes', 'juanmagudelo']",16682,77,False
