mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
3131013378177818860,,patryjordan,2023-06-22_20-31-42_UTC,6,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/355538656_632040888884449_3367805250617182922_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=JJSVij2ZPCYAX8xsfmF&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEzMTAxMzM2ODIxMjIwMDAxMw%3D%3D.2-ccb7-5&oh=00_AfDyT6xZ4Qg5HGUijMiq8lp8cf1xy62jGf-XYVFVObF3eQ&oe=654145ED&_nc_sid=8b3546,"Mi primera visita de República Dominicana para visitar Isla Saona 🌴 

1. Foto en la parada de piñas 🍍 Me encantan todas estas casitas de colores.
2. Llegando a Isla Saona. No sabéis lo espectacular que es😍
3. Disfrutando las frutas tropicales🌴
4. Esperando para comer, no sabéis el hambre que tenía.
5. Ahora foto con Carlos🤞
6. Tuve la oportunidad de ver una tortuga 🐢 y una estrella de mar gigante.

¿Cuál es el lugar más bonito que te viene ahora mismo a la mente?",[],[],[],35477,252,False
3054934164105549692,,patryjordan,2023-03-09_21-15-53_UTC,4,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/334297192_900819621040531_3676644866560668163_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=Nt3cm4Ng51YAX8J50dQ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1NDkzNDE1ODgyODkxNTE1Mw%3D%3D.2-ccb7-5&oh=00_AfDmOxAsjKRMK7pljUKva7l71hE4tUu_pVQ_ya1PjrdYjg&oe=65403922&_nc_sid=8b3546,"Disfrutando de la 5a edición de los @premiosvictoriadelabelleza 🥰 ¡Este año hemos viajado a Lisboa para conocer a los galardonados! Visita exprés pero nos ha dado tiempo a hacer un poco de turismo🇵🇹

Ya sabéis que me parece lo más que sean los consumidores desde su casa quiénes prueben a ciegas los productos✨

 @premiosvictoriadelabelleza #PremiosVDB2023

@colnatur_esp @xlash.es @kneipp_spain @carrefoures @lashilebeautyspain",['premiosvdb2023'],"['premiosvictoriadelabelleza', 'premiosvictoriadelabelleza', 'xlash.es', 'kneipp_spain', 'carrefoures', 'lashilebeautyspain']",['premiosvictoriadelabelleza'],15763,77,False
3007064198866077136,,patryjordan,2023-01-02_20-06-48_UTC,3,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/323005533_655720432964394_6872251593446146835_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=HvC7hQvxF0sAX867c7R&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAwNzA2NDE5NDUzNzU3NjU5NA%3D%3D.2-ccb7-5&oh=00_AfA8oKuYa00kPzgKskgi_PSsmGidhpdMkVlVLAuUneBz3A&oe=6540ECB0&_nc_sid=8b3546,"Propósito para este 2023: viajar más ✈️

En casa se está muy bien, pero viajar me llena el ❤️

Ganas de ver qué nos trae este nuevo año!✨",[],[],[],30919,113,False
2985316565021852466,,patryjordan,2022-12-03_19-58-08_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/318112511_6030243543661103_3753966347427175984_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=iGNzQlmpgUMAX8Hu5vn&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk4NTMxNjU2MTg2NzU2MzkxNA%3D%3D.2-ccb7-5&oh=00_AfDjNoi_jxYoaiVdFSaGwJwImc1SuXgIw5VwQZwxd00M_Q&oe=65419BEE&_nc_sid=8b3546,"Hasta el infinito y más allá🌅

Atrae lo que esperas. 
Refleja lo que deseas
Conviértete en lo que respetas
Proyecta lo que admiras.

De los mejores atardeceres que he visto✨ No siempre puedes verlos en una piscina a 200 metros del mar ♥️

¿Cuál es ese lugar bonito o recuerdo que guardaréis para siempre?😊",[],[],"['patryjordan', 'auraskypool.dubai']",82233,622,False
2976619621302890920,,patryjordan,2022-11-21_19-58-52_UTC,4,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/316216427_609155937627678_5572519589594340780_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=cMuYUSpSFGsAX8o0yrl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCET2NJCcnQ6oWBnkDlYVALBhBUoZPVGwwcxU5HGyHA3Q&oe=65400FC1&_nc_sid=bc0c2c,"Repetiría esta experiencia una y mil veces. Si tenéis la oportunidad, hacedlo. En vuestra ciudad o si vais de vacaciones en cualquier parte del mundo🌎
Gracias @visit.dubai @balloonadventures_dubai por subirnos hasta las nubes☁️. Fue un regalo contemplar desde el cielo un lugar tan increíble para después bajar y disfrutar de una aventura y vista de los campamentos beduinos en todoterrenos clásicos  a través del desierto. ¡Os aseguro que el madrugón vale la pena!🫶🏻 #hotairballoon",['hotairballoon'],"['visit.dubai', 'balloonadventures_dubai']","['visit.dubai', 'patryjordan', 'balloonadventures_dubai']",28884,100,False
2975844139415541223,,patryjordan,2022-11-20_18-18-07_UTC,3,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/316300058_499246652169813_6690622900423026669_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=iRcWPjnx3FsAX8mcr9e&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAWq3FVORkUhKOqiRJOor5OIteKItFiAMDYOKTIYPZkQ&oe=65401244&_nc_sid=bc0c2c,"Segunda vez en Dubai y disfrutando como la primera! Tengo mucho por enseñaros todavía, es un viaje express, pero qué viaje ❤️ Recargando pilas a tope! Nos estamos alojando en el increíble @wdubaiminaseyahi Gracias @visit.dubai #dubai",['dubai'],"['wdubaiminaseyahi', 'visit.dubai']","['visit.dubai', 'gymvirtual_com', 'patryjordan', 'wdubaiminaseyahi']",17416,72,False
2900446865503289024,,patryjordan,2022-08-08_17-37-11_UTC,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/298085554_401138645447903_1384874444603183195_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3MTkuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=s6gn8Dhg_LIAX8heMRY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkwMDQ0Njg2NTUwMzI4OTAyNA%3D%3D.2-ccb7-5&oh=00_AfAC2mzE7OrqodPtdGFHkex-LoClvao7cXk2CH4wyND4aQ&oe=6540FA35&_nc_sid=fc8dfb,"De cuando estuvimos de vacaciones en Albania🇦🇱 

Conseguimos encontrar un kayak transparente☺️ Eso sí, bonito pero de todo menos práctico😂 le faltaban los asientos y se hundía bastante!🙈 

Aún así, no podía faltar la foto🍑🙌🏻",[],[],"['gymvirtual_com', 'patryjordan']",31286,96,False
2870083982034558852,,patryjordan,2022-06-27_20-11-34_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/290678035_166596509172877_8584145559075762358_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=YUiRnLk8WncAX8WQX9J&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDRd0LNMiwLKjdYV9-1suSxFcTAetLeOjH8PUykgpqkzw&oe=6540DB25&_nc_sid=bc0c2c,"Fuimos de vacaciones y apenas compartí fotos porque quería disfrutar del momento 😍🚀 Os comparto una foto de Ksamil dónde vivimos puestas de sol increíbles y comimos muy bien🤤 

Contadme si sois team compartir mil fotos semanas después de vuestras vacaciones!😜",[],[],"['patryjordan', 'womensecretofficial', 'poda_boutique_hotel_ksamil']",21974,87,False
2861373449892147172,,patryjordan,2022-06-15_19-45-17_UTC,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/288327544_5545734002113548_6052165814250320687_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=shzBZw6qVI8AX_yOpdI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg2MTM3MzQ0OTg5MjE0NzE3Mg%3D%3D.2-ccb7-5&oh=00_AfAHS8fPyEERpOULnNSNoDCk0j2xurp_YsRJxJEiEEfAeA&oe=65418336&_nc_sid=fc8dfb,"Todo lo bueno se acaba!💙 Pero si el tiempo no fuera limitado, no lo valoraríamos ni utilizaríamos igual. ¿Qué pensáis?😇",[],[],['patryjordan'],25702,111,False
2853483936035958376,,patryjordan,2022-06-04_22-30-14_UTC,4,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/285541600_3247239058834395_3986804829540224106_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=AaKVoTwfEHcAX9DrVb-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBQP1WI6oyPYKMtqWscVdldhLGeD6WNsr9e-pCUqT788g&oe=653FDD8F&_nc_sid=bc0c2c,Qué bien se está cuándo se está bien💙 ¿Cuáles son vuestras mejores vacaciones?🥰,[],[],[],47811,118,False
