,carpeta_numero,nombre_imagen,prediccion
0,1001129260787871655,[['1001129260787871655.jpg']],[['Jacket']]
1,1031132668982635845,[['1031132668982635845.jpg']],[['Jacket']]
2,1043108807741451542,[['1043108807741451542.jpg']],[['Tee']]
3,1060065445597589407,[['1060065445597589407.jpg']],[['Tee']]
4,1064866363170008643,[['1064866363170008643.jpg']],[['Tee']]
5,1077191736163479148,[['1077191736163479148.jpg']],[['Tee']]
6,1091979500377517975,[['1091979500377517975.jpg']],[['Tee']]
7,1093171863082937361,[['1093171863082937361.jpg']],[['Jacket']]
8,1095189007350017352,[['1095189007350017352.jpg']],[['Tee']]
9,1103240675752848443,[['1103240675752848443.jpg']],[['Skirt']]
10,1103261991230942852,[['1103261991230942852.jpg']],[['Blouse']]
11,1109025407635729513,[['1109025407635729513.jpg']],[['Tee']]
12,1109775902864223713,[['1109775902864223713.jpg']],[['Dress']]
13,1112389366640192538,[['1112389366640192538.jpg']],[['Sweater']]
14,1114891739174448378,[['1114891739174448378.jpg']],[['Shorts']]
15,1128668386633624796,[['1128668386633624796.jpg']],[['Tee']]
16,1135535524178734087,[['1135535524178734087.jpg']],[['Shorts']]
17,1140193280726838478,[['1140193280726838478.jpg']],[['Tee']]
18,1147925862688140783,[['1147925862688140783.jpg']],[['Jeans']]
19,1150195239831645622,[['1150195239831645622.jpg']],[['Sweater']]
20,1150403695465376850,[['1150403695465376850.jpg']],[['Tee']]
21,1157322852018597420,[['1157322852018597420.jpg']],[['Dress']]
22,1158815454723223398,[['1158815454723223398.jpg']],[['Sweater']]
23,1166991228353556437,[['1166991228353556437.jpg']],[['Sweater']]
24,1170650049202531556,[['1170650049202531556.jpg']],[['Sweater']]
25,1174996598544051717,[['1174996598544051717.jpg']],[['Tee']]
26,1178186242098114343,[['1178186242098114343.jpg']],[['Dress']]
27,1182935039948795279,[['1182935039948795279.jpg']],[['Tee']]
28,1185120387332222035,[['1185120387332222035.jpg']],[['Skirt']]
29,1187351600906284456,[['1187351600906284456.jpg']],[['Blouse']]
30,1193066743388614490,[['1193066743388614490.jpg']],[['Dress']]
31,1193578649232780519,[['1193578649232780519.jpg']],[['Blouse']]
32,1195997059442978064,[['1195997059442978064.jpg']],[['Dress']]
33,1202171554641915445,[['1202171554641915445.jpg']],[['Jacket']]
34,1204523927121079550,[['1204523927121079550.jpg']],[['Tee']]
35,1209598917394738932,[['1209598917394738932.jpg']],[['Dress']]
36,1216976511123500553,[['1216976511123500553.jpg']],[['Blouse']]
37,1228944561838140804,[['1228944561838140804.jpg']],[['Blouse']]
38,1250074779688546121,[['1250074779688546121.jpg']],[['Tee']]
39,1280139367260578346,[['1280139367260578346.jpg']],[['Shorts']]
40,1281417247999188122,[['1281417247999188122.jpg']],[['Jeans']]
41,1282291872488561724,[['1282291872488561724.jpg']],[['Skirt']]
42,1301821447463736933,[['1301821447463736933.jpg']],[['Top']]
43,1307672499798717346,[['1307672499798717346.jpg']],[['Shorts']]
44,1315378134363563665,[['1315378134363563665.jpg']],[['Tee']]
45,1317795621768164742,[['1317795621768164742.jpg']],[['Skirt']]
46,1323500243644089480,[['1323500243644089480.jpg']],[['Blouse']]
47,1332614817341385218,[['1332614817341385218.jpg']],[['Blouse']]
48,1340617765203772622,[['1340617765203772622.jpg']],[['Tee']]
49,1352560717731734053,[['1352560717731734053.jpg']],[['Sweater']]
50,1354015712662635565,[['1354015712662635565.jpg']],[['Dress']]
51,1361209903914203058,[['1361209903914203058.jpg']],[['Tee']]
52,1365552553375290433,[['1365552553375290433.jpg']],[['Shorts']]
53,1371270150859238402,[['1371270150859238402.jpg']],[['Dress']]
54,1377057339421431093,[['1377057339421431093.jpg']],[['Skirt']]
55,1377895419007102084,[['1377895419007102084.jpg']],[['Top']]
56,1380470024183742898,[['1380470024183742898.jpg']],[['Jeans']]
57,1384257542494755820,[['1384257542494755820.jpg']],[['Blouse']]
58,1386263866380304747,[['1386263866380304747.jpg']],[['Blouse']]
59,1391575511994441069,[['1391575511994441069.jpg']],[['Top']]
60,1393020143202641142,[['1393020143202641142.jpg']],[['Jacket']]
61,1397501671269919735,[['1397501671269919735.jpg']],[['Tee']]
62,1398203117812345164,[['1398203117812345164.jpg']],[['Sweater']]
63,1398709068080404748,[['1398709068080404748.jpg']],[['Shorts']]
64,1402892343938209281,[['1402892343938209281.jpg']],[['Jacket']]
65,1403667116066730826,[['1403667116066730826.jpg']],[['Tee']]
66,1405417042232026593,[['1405417042232026593.jpg']],[['Tee']]
67,1406091940919710458,[['1406091940919710458.jpg']],[['Tee']]
68,1410180366694527636,[['1410180366694527636.jpg']],[['Sweater']]
69,1416372280359760972,[['1416372280359760972.jpg']],[['Dress']]
70,1430508004247933525,[['1430508004247933525.jpg']],[['Top']]
71,1437845865024491790,[['1437845865024491790.jpg']],[['Blouse']]
72,1441682110402213168,[['1441682110402213168.jpg']],[['Skirt']]
73,1442230763265090791,[['1442230763265090791.jpg']],[['Skirt']]
74,1443697298051651173,[['1443697298051651173.jpg']],[['Jeans']]
