,carpeta_numero,nombre_imagen,prediccion
0,2536202155624655880,"[['2021-03-24_04-07-58_UTC_2.jpg'], ['2536202155624655880_1.jpg']]","[['Jacket'], ['Skirt']]"
1,2551076567456850267,"[['2021-04-13_16-40-46_UTC_2.jpg'], ['2551076567456850267_1.jpg']]","[['Blouse'], ['Jacket']]"
2,2630893407040824439,"[['2021-08-01_19-42-35_UTC_2.jpg'], ['2630893407040824439_1.jpg']]","[['Skirt'], ['Tee']]"
3,2672200357535773026,[['2672200357535773026.jpg']],[['Shorts']]
4,2706588191886926640,"[['2021-11-14_06-14-37_UTC_3.jpg'], ['2706588191886926640_1.jpg'], ['2706588191886926640_2.jpg']]","[['Tee'], ['Tee'], ['Tee']]"
5,2709416292507929864,"[['2021-11-18_03-53-33_UTC_2.jpg'], ['2709416292507929864_1.jpg']]","[['Blouse'], ['Sweater']]"
6,2732393554442103768,"[['2021-12-19_20-45-16_UTC_3.jpg'], ['2732393554442103768_1.jpg'], ['2732393554442103768_2.jpg']]","[['Jacket'], ['Jacket'], ['Tee']]"
7,2755567793223406264,"[['2022-01-20_20-08-20_UTC_3.jpg'], ['2755567793223406264_1.jpg'], ['2755567793223406264_2.jpg']]","[['Sweater'], ['Tee'], ['Tee']]"
8,2765273894582174154,[['2765273894582174154.jpg']],[['Tee']]
9,2765988469950620337,"[['2022-02-04_05-12-22_UTC_2.jpg'], ['2765988469950620337_1.jpg']]","[['Tee'], ['Jacket']]"
10,2768070580026935016,[['2768070580026935016.jpg']],[['Skirt']]
11,2778051784060828821,"[['2022-02-20_20-40-01_UTC_3.jpg'], ['2778051784060828821_1.jpg'], ['2778051784060828821_2.jpg']]","[['Sweater'], ['Tee'], ['Tee']]"
12,2778854879191693819,"[['2022-02-21_23-15-37_UTC_2.jpg'], ['2778854879191693819_1.jpg']]","[['Blouse'], ['Dress']]"
13,2835209337972688167,[['2835209337972688167.jpg']],[['Jeans']]
14,2839804721034103000,"[['2022-05-17_01-32-04_UTC_2.jpg'], ['2839804721034103000_1.jpg']]","[['Shorts'], ['Shorts']]"
15,2851450940504250031,"[['2022-06-02_03-11-02_UTC_2.jpg'], ['2851450940504250031_1.jpg']]","[['Skirt'], ['Shorts']]"
16,2854218848913483737,[['2854218848913483737.jpg']],[['Tee']]
