,carpeta_numero,nombre_imagen,prediccion
0,1109744922797392970,[['1109744922797392970.jpg']],[['Dress']]
1,1109747717445371012,[['1109747717445371012.jpg']],[['Dress']]
2,1129636995369387613,[['1129636995369387613.jpg']],[['Shorts']]
3,1365036837919651629,[['1365036837919651629.jpg']],[['Jacket']]
4,1365328402646966430,[['1365328402646966430.jpg']],[['Dress']]
5,1365402819322342185,[['1365402819322342185.jpg']],[['Dress']]
6,1365426573452764058,[['1365426573452764058.jpg']],[['Dress']]
7,1365427337847746611,[['1365427337847746611.jpg']],[['Dress']]
8,1365443171135607345,[['1365443171135607345.jpg']],[['Dress']]
9,1365443576020127025,[['1365443576020127025.jpg']],[['Dress']]
10,1365444125306283258,[['1365444125306283258.jpg']],[['Dress']]
11,1365460576247264807,[['1365460576247264807.jpg']],[['Dress']]
12,1365498650301965654,[['1365498650301965654.jpg']],[['Dress']]
13,1365499171108763225,[['1365499171108763225.jpg']],[['Blouse']]
14,1365499897679628313,[['1365499897679628313.jpg']],[['Dress']]
15,1365501852929910290,[['1365501852929910290.jpg']],[['Blouse']]
16,1365502407039462719,[['1365502407039462719.jpg']],[['Blouse']]
17,1365502928760371691,[['1365502928760371691.jpg']],[['Dress']]
18,1365503544593351789,[['1365503544593351789.jpg']],[['Blouse']]
19,1365503961691692711,[['1365503961691692711.jpg']],[['Dress']]
20,1365504351015277500,[['1365504351015277500.jpg']],[['Dress']]
21,1365509470532664690,[['1365509470532664690.jpg']],[['Dress']]
22,1365509932090482014,[['1365509932090482014.jpg']],[['Blouse']]
23,1365510470848875437,[['1365510470848875437.jpg']],[['Blouse']]
24,1365510864534672211,[['1365510864534672211.jpg']],[['Blouse']]
25,1365514005506323370,[['1365514005506323370.jpg']],[['Blouse']]
26,1365515462934788922,[['1365515462934788922.jpg']],[['Blouse']]
27,1365516143879921747,[['1365516143879921747.jpg']],[['Dress']]
28,1365516732835708069,[['1365516732835708069.jpg']],[['Dress']]
29,1365517824797616690,[['1365517824797616690.jpg']],[['Dress']]
30,1365524764860855845,[['1365524764860855845.jpg']],[['Dress']]
31,1365533489675795664,[['1365533489675795664.jpg']],[['Dress']]
32,1368837894915329044,[['1368837894915329044.jpg']],[['Dress']]
33,1370399733155388327,[['1370399733155388327.jpg']],[['Shorts']]
34,1371746836981196365,[['1371746836981196365.jpg']],[['Shorts']]
35,1372569491518947551,[['1372569491518947551.jpg']],[['Dress']]
36,1422191878878866770,[['1422191878878866770.jpg']],[['Dress']]
37,1438857167871684831,[['1438857167871684831.jpg']],[['Dress']]
38,1456886117772826221,[['1456886117772826221.jpg']],[['Jacket']]
39,1456890348206738817,[['1456890348206738817.jpg']],[['Dress']]
40,1456923286067674314,[['1456923286067674314.jpg']],[['Dress']]
41,1501899277512705875,[['1501899277512705875.jpg']],[['Blouse']]
42,1502572919535931169,[['1502572919535931169.jpg']],[['Dress']]
43,1502632382385036895,[['1502632382385036895.jpg']],[['Dress']]
44,1516426338017041535,[['1516426338017041535.jpg']],[['Jacket']]
45,1522040641344634991,[['1522040641344634991.jpg']],[['Dress']]
46,1537361089221598911,[['1537361089221598911.jpg']],[['Blouse']]
47,1544435781899929552,[['1544435781899929552.jpg']],[['Dress']]
48,1566674430439889607,[['1566674430439889607.jpg']],[['Dress']]
49,1567425513340770928,[['1567425513340770928.jpg']],[['Tee']]
50,1587989620980451038,[['1587989620980451038.jpg']],[['Blouse']]
51,1588830341913439036,[['1588830341913439036.jpg']],[['Jeans']]
52,1606243210867104375,[['1606243210867104375.jpg']],[['Skirt']]
53,1611287015306775368,[['1611287015306775368.jpg']],[['Dress']]
54,1622667600369423457,[['1622667600369423457.jpg']],[['Dress']]
55,1628353208626611733,[['1628353208626611733.jpg']],[['Dress']]
56,1628872077543862894,[['1628872077543862894.jpg']],[['Skirt']]
57,1629171214021606617,"[['1629171214021606617_1.jpg'], ['1629171214021606617_2.jpg'], ['1629171214021606617_3.jpg'], ['1629171214021606617_4.jpg'], ['1629171214021606617_5.jpg'], ['1629171214021606617_6.jpg'], ['1629171214021606617_7.jpg'], ['2017-10-19_16-59-24_UTC_8.jpg']]","[['Blouse'], ['Dress'], ['Top'], ['Blouse'], ['Dress'], ['Jacket'], ['Blouse'], ['Jacket']]"
58,1629178901249842419,[['1629178901249842419.jpg']],[['Dress']]
59,1629456617383578847,"[['1629456617383578847_1.jpg'], ['1629456617383578847_2.jpg'], ['1629456617383578847_3.jpg'], ['1629456617383578847_4.jpg'], ['2017-10-20_02-26-27_UTC_5.jpg']]","[['Dress'], ['Dress'], ['Blouse'], ['Dress'], ['Dress']]"
60,1630607497575120122,[['1630607497575120122.jpg']],[['Dress']]
61,1630607995732547289,[['1630607995732547289.jpg']],[['Blouse']]
62,1630609607997829647,[['1630609607997829647.jpg']],[['Dress']]
63,1649751199258156107,[['1649751199258156107.jpg']],[['Blouse']]
64,1650963745441009154,[['1650963745441009154.jpg']],[['Sweater']]
65,1668887317891000184,[['1668887317891000184.jpg']],[['Tee']]
66,1682052837364470170,[['1682052837364470170.jpg']],[['Dress']]
67,1709641793983598176,[['1709641793983598176.jpg']],[['Blouse']]
68,1720387561908419185,"[['1720387561908419185_1.jpg'], ['2018-02-22_13-30-00_UTC_2.jpg']]","[['Skirt'], ['Dress']]"
69,1720730675034649132,[['1720730675034649132.jpg']],[['Dress']]
70,1727716866908953401,[['1727716866908953401.jpg']],[['Dress']]
71,1728319946461383583,[['1728319946461383583.jpg']],[['Dress']]
72,1728380090079581649,[['1728380090079581649.jpg']],[['Dress']]
73,1728394160610580485,[['1728394160610580485.jpg']],[['Tee']]
74,1728733025703580666,[['1728733025703580666.jpg']],[['Dress']]
75,1739582061755090885,[['1739582061755090885.jpg']],[['Dress']]
76,1739640830371436810,[['1739640830371436810.jpg']],[['Dress']]
77,1741116426884539000,[['1741116426884539000.jpg']],[['Dress']]
78,1756385131251952408,[['1756385131251952408.jpg']],[['Dress']]
79,1765706894616249835,[['1765706894616249835.jpg']],[['Skirt']]
80,1766403738245673640,[['1766403738245673640.jpg']],[['Dress']]
81,1766738474709286509,[['1766738474709286509.jpg']],[['Dress']]
82,1766844303768783030,"[['1766844303768783030_1.jpg'], ['1766844303768783030_2.jpg'], ['1766844303768783030_3.jpg'], ['2018-04-27_15-51-15_UTC_4.jpg']]","[['Blouse'], ['Dress'], ['Shorts'], ['Blouse']]"
83,1768220550272852991,[['1768220550272852991.jpg']],[['Blouse']]
84,1768287200984599216,[['1768287200984599216.jpg']],[['Blouse']]
85,1772936969229162707,[['1772936969229162707.jpg']],[['Dress']]
86,1773649605503533320,[['1773649605503533320.jpg']],[['Tee']]
87,1775668436853954018,[['1775668436853954018.jpg']],[['Dress']]
88,1776539546726325987,[['1776539546726325987.jpg']],[['Dress']]
89,1779871406093123082,[['1779871406093123082.jpg']],[['Blouse']]
90,1782391659205428158,[['1782391659205428158.jpg']],[['Dress']]
91,1783744581679883147,[['1783744581679883147.jpg']],[['Dress']]
92,1783755520516984428,"[['1783755520516984428_1.jpg'], ['1783755520516984428_2.jpg'], ['2018-05-20_23-50-50_UTC_3.jpg']]","[['Dress'], ['Dress'], ['Dress']]"
93,1795313362394881092,[['1795313362394881092.jpg']],[['Dress']]
94,1814236031454418755,[['1814236031454418755.jpg']],[['Dress']]
95,1829472984680518003,"[['1829472984680518003_1.jpg'], ['1829472984680518003_2.jpg'], ['2018-07-23_01-43-16_UTC_3.jpg']]","[['Jeans'], ['Sweater'], ['Jacket']]"
96,1834581252989977449,[['1834581252989977449.jpg']],[['Dress']]
