,carpeta_numero,nombre_imagen,prediccion
0,1832132554536677308,[['1832132554536677308.jpg']],[['Skirt']]
1,1833652795909465876,"[['1833652795909465876.jpg'], ['2018-07-28_20-07-48_UTC.jpg']]","[['Sweater'], ['Sweater']]"
2,1835781790402624115,[['1835781790402624115.jpg']],[['Skirt']]
3,1837225294718004760,"[['1837225294718004760_1.jpg'], ['2018-08-02_18-25-43_UTC_2.jpg']]","[['Dress'], ['Sweater']]"
4,1841553864824013375,[['1841553864824013375.jpg']],[['Dress']]
5,1842330120486149889,"[['1842330120486149889_1.jpg'], ['2018-08-09_19-28-06_UTC_2.jpg']]","[['Tee'], ['Sweater']]"
6,1844455031178599424,[['1844455031178599424.jpg']],[['Jacket']]
7,1845921078922520445,[['1845921078922520445.jpg']],[['Skirt']]
8,1850270369769123816,[['1850270369769123816.jpg']],[['Sweater']]
9,1852434924587864721,[['1852434924587864721.jpg']],[['Blouse']]
10,1855366259093682192,"[['1855366259093682192_1.jpg'], ['2018-08-27_19-08-35_UTC_2.jpg']]","[['Dress'], ['Tee']]"
11,1858228253450724885,[['1858228253450724885.jpg']],[['Tee']]
12,1859691970798347239,"[['1859691970798347239_1.jpg'], ['2018-09-02_18-23-00_UTC_2.jpg']]","[['Blouse'], ['Jacket']]"
13,1860516411279226637,[['1860516411279226637.jpg']],[['Shorts']]
14,1860846593600920043,"[['1860846593600920043_1.jpg'], ['1860846593600920043_2.jpg'], ['2018-09-04_08-37-02_UTC_3.jpg']]","[['Shorts'], ['Tee'], ['Dress']]"
15,1862646105364527838,"[['1862646105364527838_1.jpg'], ['1862646105364527838_2.jpg']]","[['Dress'], ['Sweater']]"
16,1863371377585052272,[['1863371377585052272.jpg']],[['Dress']]
17,1865468314583835865,[['1865468314583835865.jpg']],[['Tee']]
18,1867634900166137004,[['1867634900166137004.jpg']],[['Tee']]
19,1868474767280290991,[['1868474767280290991.jpg']],[['Tee']]
20,1873447007056316378,[['1873447007056316378.jpg']],[['Tee']]
21,1874985175203333640,[['1874985175203333640.jpg']],[['Tee']]
22,1877106236413836571,[['1877106236413836571.jpg']],[['Skirt']]
23,1877833709266962801,[['1877833709266962801.jpg']],[['Jacket']]
24,1880753121045391859,[['1880753121045391859.jpg']],[['Blouse']]
25,1882219152020385411,[['1882219152020385411.jpg']],[['Tee']]
26,1882934415925771187,[['1882934415925771187.jpg']],[['Sweater']]
27,1883643629681883626,[['1883643629681883626.jpg']],[['Dress']]
