,carpeta_numero,nombre_imagen,prediccion
0,1417763432044000401,[['1417763432044000401.jpg']],[['Sweater']]
1,1418349456876994330,[['1418349456876994330.jpg']],[['Jeans']]
2,1418495598893828413,[['1418495598893828413.jpg']],[['Dress']]
3,1418553529010004918,[['1418553529010004918.jpg']],[['Skirt']]
4,1420637842983697168,[['1420637842983697168.jpg']],[['Skirt']]
5,1421193117889431379,[['1421193117889431379.jpg']],[['Blouse']]
6,1421373313611293050,[['1421373313611293050.jpg']],[['Dress']]
7,1422105288320174137,[['1422105288320174137.jpg']],[['Dress']]
8,1423547298742741954,[['1423547298742741954.jpg']],[['Tee']]
9,1424089781675324802,[['1424089781675324802.jpg']],[['Blouse']]
10,1425028753750539796,[['1425028753750539796.jpg']],[['Tee']]
11,1425714676628958542,[['1425714676628958542.jpg']],[['Sweater']]
12,1425828177724632171,[['1425828177724632171.jpg']],[['Dress']]
13,1426265536324779085,[['1426265536324779085.jpg']],[['Dress']]
14,1426473134760332784,[['1426473134760332784.jpg']],[['Jacket']]
15,1426530726211656890,[['1426530726211656890.jpg']],[['Dress']]
16,1427006837051641832,[['1427006837051641832.jpg']],[['Blouse']]
17,1427247309611571570,[['1427247309611571570.jpg']],[['Blouse']]
18,1427748404158917278,[['1427748404158917278.jpg']],[['Dress']]
19,1427897706281875132,[['1427897706281875132.jpg']],[['Dress']]
20,1430109765182501658,[['1430109765182501658.jpg']],[['Skirt']]
21,1430793648253236024,[['1430793648253236024.jpg']],[['Jacket']]
22,1430910335451399710,[['1430910335451399710.jpg']],[['Jeans']]
23,1432218258672731023,[['1432218258672731023.jpg']],[['Jeans']]
24,1432329430529155329,[['1432329430529155329.jpg']],[['Dress']]
25,1432968452221762974,[['1432968452221762974.jpg']],[['Jacket']]
26,1433053181222639909,[['1433053181222639909.jpg']],[['Shorts']]
27,1434948866230613599,[['1434948866230613599.jpg']],[['Dress']]
28,1435144517904120766,[['1435144517904120766.jpg']],[['Dress']]
29,1435229764188630069,[['1435229764188630069.jpg']],[['Dress']]
30,1435914467430219027,[['1435914467430219027.jpg']],[['Top']]
31,1436405821704993923,[['1436405821704993923.jpg']],[['Dress']]
32,1436687952905534261,[['1436687952905534261.jpg']],[['Blouse']]
33,1437310980056328654,[['1437310980056328654.jpg']],[['Dress']]
34,1437387385033099272,[['1437387385033099272.jpg']],[['Jeans']]
35,1438066328748856142,[['1438066328748856142.jpg']],[['Dress']]
