,carpeta_numero,nombre_imagen,textura
0,2436768575995168110,"[['2020-11-06_23-31-12_UTC_5.jpg'], ['2436768575995168110_1.jpg'], ['2436768575995168110_2.jpg'], ['2436768575995168110_3.jpg'], ['2436768575995168110_4.jpg']]","[[['print']], [['print']], [['floral', 'print']], [['floral']], [['print']]]"
1,2439557980809959490,[['2439557980809959490_1.jpg']],[[['floral']]]
2,2440483800015457194,[['2440483800015457194.jpg']],[[['floral']]]
3,2440986872999405163,[['2440986872999405163.jpg']],[[['floral']]]
4,2450438511560929966,"[['2020-11-25_20-10-55_UTC_4.jpg'], ['2450438511560929966_1.jpg'], ['2450438511560929966_2.jpg'], ['2450438511560929966_3.jpg']]","[[['floral']], [['print']], [['print']], [['print']]]"
5,2450620285364632020,"[['2020-11-26_02-12-04_UTC_2.jpg'], ['2450620285364632020_1.jpg']]","[[['floral']], [['print']]]"
6,2453251214809522979,"[['2020-11-29_17-19-16_UTC_2.jpg'], ['2453251214809522979_1.jpg']]","[[['floral', 'print']], [['floral', 'print']]]"
7,2459128660389813266,"[['2020-12-07_19-56-42_UTC_3.jpg'], ['2459128660389813266_1.jpg'], ['2459128660389813266_2.jpg']]","[[['print']], [['print']], [['floral', 'print']]]"
8,2459875760136355888,[['2459875760136355888.jpg']],[[['print']]]
9,2463530989050654395,[['2463530989050654395.jpg']],"[[['floral', 'print']]]"
10,2463579720076602566,"[['2020-12-13_23-20-09_UTC_10.jpg'], ['2463579720076602566_1.jpg'], ['2463579720076602566_3.jpg'], ['2463579720076602566_4.jpg'], ['2463579720076602566_5.jpg'], ['2463579720076602566_6.jpg'], ['2463579720076602566_7.jpg'], ['2463579720076602566_8.jpg'], ['2463579720076602566_9.jpg']]","[[['floral', 'print']], [['floral']], [['print']], [['floral']], [['floral', 'print']], [['floral']], [['print']], [['print']], [['floral']]]"
11,2463591189409305325,[['2463591189409305325.jpg']],[[['print']]]
12,2469472025488896605,"[['2020-12-22_02-27-07_UTC_4.jpg'], ['2469472025488896605_1.jpg'], ['2469472025488896605_2.jpg'], ['2469472025488896605_3.jpg']]","[[['floral']], [['floral', 'print']], [['print']], [['print']]]"
13,2469834867001913409,[['2469834867001913409.jpg']],[[['print']]]
14,2470097336614231268,[['2470097336614231268.jpg']],"[[['floral', 'print']]]"
15,2472240865494741152,"[['2020-12-25_22-08-18_UTC_5.jpg'], ['2472240865494741152_1.jpg'], ['2472240865494741152_2.jpg'], ['2472240865494741152_3.jpg'], ['2472240865494741152_4.jpg']]","[[['floral']], [['floral', 'print']], [['floral']], [['floral', 'print']], [['print']]]"
16,2475992696930914838,[['2475992696930914838.jpg']],[[['print']]]
17,2477225519033606649,"[['2021-01-01_19-11-55_UTC_3.jpg'], ['2477225519033606649_1.jpg'], ['2477225519033606649_2.jpg']]","[[['floral']], [['print']], [['print']]]"
18,2479331852490849341,[['2479331852490849341.jpg']],[[['print']]]
19,2480729117491015697,[['2480729117491015697.jpg']],[[['print']]]
20,2490281432082394431,"[['2021-01-19_19-31-42_UTC_2.jpg'], ['2490281432082394431_1.jpg']]","[[['graphic']], [['floral']]]"
21,2503178785131009665,"[['2021-02-06_14-36-26_UTC_10.jpg'], ['2503178785131009665_1.jpg'], ['2503178785131009665_2.jpg'], ['2503178785131009665_3.jpg'], ['2503178785131009665_4.jpg'], ['2503178785131009665_5.jpg'], ['2503178785131009665_6.jpg'], ['2503178785131009665_7.jpg'], ['2503178785131009665_8.jpg'], ['2503178785131009665_9.jpg']]","[[['print']], [['floral', 'print']], [['floral', 'print']], [['print']], [['print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
22,2512571563522828024,[['2512571563522828024.jpg']],[[['floral']]]
23,2520212078934098362,"[['2021-03-02_02-38-33_UTC_5.jpg'], ['2520212078934098362_1.jpg'], ['2520212078934098362_2.jpg'], ['2520212078934098362_3.jpg'], ['2520212078934098362_4.jpg']]","[[['graphic']], [['floral', 'print']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
24,2522937554140228147,"[['2021-03-05_20-53-35_UTC_5.jpg'], ['2522937554140228147_1.jpg'], ['2522937554140228147_2.jpg'], ['2522937554140228147_3.jpg'], ['2522937554140228147_4.jpg']]","[[['floral', 'print']], [['floral', 'print']], [['floral']], [['print']], [['floral']]]"
25,2526586312258369714,"[['2021-03-10_21-43-00_UTC_6.jpg'], ['2526586312258369714_1.jpg'], ['2526586312258369714_2.jpg'], ['2526586312258369714_3.jpg'], ['2526586312258369714_4.jpg'], ['2526586312258369714_5.jpg']]","[[['floral']], [['print']], [['print']], [['floral', 'print']], [['floral']], [['floral']]]"
26,2532900387862987315,"[['2021-03-19_14-47-57_UTC_2.jpg'], ['2532900387862987315_1.jpg']]","[[['print']], [['floral']]]"
27,2549754331826269853,"[['2021-04-11_20-53-44_UTC_10.jpg'], ['2549754331826269853_1.jpg'], ['2549754331826269853_2.jpg'], ['2549754331826269853_3.jpg'], ['2549754331826269853_4.jpg'], ['2549754331826269853_5.jpg'], ['2549754331826269853_6.jpg'], ['2549754331826269853_7.jpg'], ['2549754331826269853_8.jpg'], ['2549754331826269853_9.jpg']]","[[['floral']], [['floral', 'print']], [['floral']], [['print']], [['floral']], [['floral']], [['floral', 'print']], [['floral', 'print']], [['print']], [['print']]]"
28,2559233888321173733,"[['2021-04-24_22-47-55_UTC_4.jpg'], ['2559233888321173733_1.jpg'], ['2559233888321173733_2.jpg'], ['2559233888321173733_3.jpg']]","[[['floral', 'print']], [['floral', 'print']], [['print']], [['print']]]"
29,2559253519240948287,"[['2021-04-24_23-26-55_UTC_4.jpg'], ['2559253519240948287_1.jpg'], ['2559253519240948287_2.jpg'], ['2559253519240948287_3.jpg']]","[[['print']], [['floral']], [['floral']], [['print']]]"
30,2561207198537872997,"[['2021-04-27_16-08-32_UTC_4.jpg'], ['2561207198537872997_1.jpg'], ['2561207198537872997_2.jpg'], ['2561207198537872997_3.jpg']]","[[['print']], [['floral', 'print']], [['floral']], [['floral']]]"
31,2569968504371854984,"[['2021-05-09_18-15-41_UTC_3.jpg'], ['2569968504371854984_1.jpg'], ['2569968504371854984_2.jpg']]","[[['print']], [['floral']], [['floral', 'print']]]"
32,2572794730618723374,[['2572794730618723374.jpg']],[[['print']]]
33,2585884686786476841,[['2585884686786476841.jpg']],[[['print']]]
34,2591725852861722154,"[['2021-06-08_18-43-39_UTC_2.jpg'], ['2591725852861722154_1.jpg']]","[[['print']], [['floral']]]"
35,2591736641148486955,"[['2591736641148486955_1.jpg'], ['2591736641148486955_2.jpg']]","[[['floral', 'print']], [['floral']]]"
36,2603477123037675732,"[['2021-06-24_23-51-19_UTC_7.jpg'], ['2603477123037675732_1.jpg'], ['2603477123037675732_2.jpg'], ['2603477123037675732_3.jpg'], ['2603477123037675732_4.jpg'], ['2603477123037675732_5.jpg'], ['2603477123037675732_6.jpg']]","[[['print']], [['print']], [['print']], [['print']], [['floral', 'print']], [['floral', 'print']], [['print']]]"
37,2605549912389558744,"[['2021-06-27_20-29-35_UTC_4.jpg'], ['2605549912389558744_1.jpg'], ['2605549912389558744_2.jpg'], ['2605549912389558744_3.jpg']]","[[['floral']], [['floral', 'print']], [['floral', 'print']], [['floral']]]"
38,2612082989332926086,"[['2021-07-06_20-49-39_UTC_9.jpg'], ['2612082989332926086_1.jpg'], ['2612082989332926086_2.jpg'], ['2612082989332926086_3.jpg'], ['2612082989332926086_4.jpg'], ['2612082989332926086_5.jpg'], ['2612082989332926086_6.jpg'], ['2612082989332926086_7.jpg'], ['2612082989332926086_8.jpg']]","[[['dot']], [['floral', 'print']], [['dot']], [['floral']], [['floral']], [['floral']], [['dot']], [['print']], [['floral']]]"
39,2612092333881474368,"[['2021-07-06_21-08-13_UTC_9.jpg'], ['2612092333881474368_1.jpg'], ['2612092333881474368_2.jpg'], ['2612092333881474368_3.jpg'], ['2612092333881474368_4.jpg'], ['2612092333881474368_5.jpg'], ['2612092333881474368_6.jpg'], ['2612092333881474368_7.jpg'], ['2612092333881474368_8.jpg']]","[[['floral']], [['print']], [['dot']], [['floral', 'print']], [['floral', 'print']], [['dot']], [['floral']], [['print']], [['floral', 'print']]]"
40,2621626153143962347,"[['2021-07-20_00-50-12_UTC_3.jpg'], ['2621626153143962347_1.jpg'], ['2621626153143962347_2.jpg']]","[[['print']], [['print']], [['print']]]"
41,2626712897551966608,"[['2021-07-27_01-16-40_UTC_2.jpg'], ['2626712897551966608_1.jpg']]","[[['floral']], [['floral']]]"
42,2628560752212899142,"[['2021-07-29_14-28-01_UTC_3.jpg'], ['2628560752212899142_1.jpg'], ['2628560752212899142_2.jpg']]","[[['floral']], [['floral']], [['print']]]"
43,2628908614960489850,"[['2021-07-30_01-59-10_UTC_2.jpg'], ['2628908614960489850_1.jpg']]","[[['print']], [['floral']]]"
44,2629477330261068009,[['2629477330261068009.jpg']],[[['floral']]]
45,2636547987860140697,[['2636547987860140697.jpg']],[[['print']]]
46,2647419825297360390,[['2647419825297360390.jpg']],[[['print']]]
47,2675122225885777075,"[['2021-10-01_20-17-21_UTC_3.jpg'], ['2675122225885777075_1.jpg'], ['2675122225885777075_2.jpg']]","[[['dot']], [['floral', 'print']], [['print']]]"
48,2675130986830692766,"[['2021-10-01_20-34-46_UTC_3.jpg'], ['2675130986830692766_1.jpg'], ['2675130986830692766_2.jpg']]","[[['print']], [['print']], [['print']]]"
49,2678034473163946209,[['2678034473163946209.jpg']],"[[['floral', 'print']]]"
50,2692532322917279945,"[['2021-10-25_20-48-07_UTC_2.jpg'], ['2692532322917279945_1.jpg']]","[[['floral', 'print']], [['floral']]]"
51,2724423115079040819,"[['2021-12-08_20-49-25_UTC_5.jpg'], ['2724423115079040819_1.jpg'], ['2724423115079040819_2.jpg'], ['2724423115079040819_3.jpg'], ['2724423115079040819_4.jpg']]","[[['floral']], [['floral']], [['floral']], [['floral', 'print']], [['floral']]]"
52,2735991232985028519,[['2735991232985028519.jpg']],[[['print']]]
53,2740074278726644915,"[['2021-12-30_11-05-29_UTC_2.jpg'], ['2740074278726644915_1.jpg']]","[[['floral', 'print']], [['floral']]]"
54,2754295788219793128,[['2754295788219793128.jpg']],"[[['floral', 'print']]]"
55,2767173166758869621,"[['2022-02-05_20-26-08_UTC_2.jpg'], ['2767173166758869621_1.jpg']]","[[['print']], [['floral']]]"
56,2769856033012344044,[['2769856033012344044.jpg']],[[['print']]]
57,2788257410675213241,[['2788257410675213241.jpg']],[[['print']]]
58,2794684824234133523,"[['2022-03-15_19-26-54_UTC_3.jpg'], ['2794684824234133523_1.jpg'], ['2794684824234133523_2.jpg']]","[[['floral']], [['floral']], [['floral']]]"
59,2794692693998192779,"[['2022-03-15_19-42-32_UTC_3.jpg'], ['2794692693998192779_1.jpg'], ['2794692693998192779_2.jpg']]","[[['floral', 'print']], [['print']], [['print']]]"
