,carpeta_numero,nombre_imagen,textura
0,2062791437233396551,"[['2019-06-09_23-45-23_UTC_2.jpg'], ['2062791437233396551_1.jpg']]","[[['print']], [['print']]]"
1,2097568187229975930,"[['2019-07-27_23-20-35_UTC_3.jpg'], ['2097568187229975930_1.jpg'], ['2097568187229975930_2.jpg']]","[[['print']], [['floral']], [['floral', 'print']]]"
2,2120739426077499911,[['2120739426077499911.jpg']],[[['print']]]
3,2135314990125799242,"[['2019-09-18_01-16-44_UTC_5.jpg'], ['2135314990125799242_1.jpg'], ['2135314990125799242_2.jpg'], ['2135314990125799242_3.jpg'], ['2135314990125799242_4.jpg']]","[[['floral', 'print']], [['print']], [['print']], [['floral', 'print']], [['print']]]"
4,2183846987579986109,"[['2019-11-24_00-21-09_UTC_2.jpg'], ['2183846987579986109_1.jpg']]","[[['floral', 'print']], [['floral', 'print']]]"
5,2191820692461254858,"[['2019-12-05_00-23-29_UTC_3.jpg'], ['2191820692461254858_1.jpg'], ['2191820692461254858_2.jpg']]","[[['print']], [['print']], [['print']]]"
6,2219367304167392131,"[['2020-01-12_00-33-41_UTC_2.jpg'], ['2219367304167392131_1.jpg']]","[[['print']], [['print']]]"
7,2233155730332748133,"[['2020-01-31_01-08-49_UTC_2.jpg'], ['2233155730332748133_1.jpg']]","[[['floral']], [['floral', 'print']]]"
8,2242554210392703929,[['2242554210392703929.jpg']],[[['print']]]
9,2254882247752381318,"[['2020-03-01_00-35-32_UTC_5.jpg'], ['2254882247752381318_1.jpg'], ['2254882247752381318_2.jpg'], ['2254882247752381318_3.jpg'], ['2254882247752381318_4.jpg']]","[[['floral']], [['floral']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
10,2257777022449194629,"[['2020-03-05_00-26-56_UTC_3.jpg'], ['2257777022449194629_1.jpg'], ['2257777022449194629_2.jpg']]","[[['floral']], [['floral']], [['floral']]]"
11,2261292485325938175,[['2261292485325938175.jpg']],[[['floral']]]
12,2274431016416204541,"[['2020-03-27_23-55-27_UTC_2.jpg'], ['2274431016416204541_1.jpg']]","[[['floral']], [['floral']]]"
13,2276620605188809993,[['2276620605188809993.jpg']],"[[['floral', 'print']]]"
14,2284673083652608522,[['2284673083652608522.jpg']],[[['print']]]
15,2315769425061561041,"[['2020-05-24_00-47-29_UTC_2.jpg'], ['2315769425061561041_1.jpg']]","[[['floral']], [['floral', 'print']]]"
16,2316520251799534935,"[['2020-05-25_01-39-15_UTC_1.jpg'], ['2020-05-25_01-39-15_UTC_2.jpg'], ['2316520251799534935_1.jpg']]","[[['floral']], [['floral']], [['floral']]]"
17,2338966326892169261,"[['2020-06-25_00-55-35_UTC_4.jpg'], ['2338966326892169261_1.jpg'], ['2338966326892169261_2.jpg'], ['2338966326892169261_3.jpg']]","[[['floral']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
18,2354968373194018142,"[['2020-07-17_02-48-48_UTC_1.jpg'], ['2020-07-17_02-48-48_UTC_2.jpg'], ['2020-07-17_02-48-48_UTC_3.jpg'], ['2354968373194018142_1.jpg'], ['2354968373194018142_2.jpg']]","[[['floral']], [['floral', 'print']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
19,2355639959194542861,"[['2020-07-18_01-03-07_UTC_2.jpg'], ['2355639959194542861_1.jpg']]","[[['floral']], [['floral']]]"
20,2367945427449252209,"[['2020-08-04_00-31-53_UTC_3.jpg'], ['2367945427449252209_1.jpg'], ['2367945427449252209_2.jpg']]","[[['print']], [['print']], [['print']]]"
21,2385308636229364556,"[['2020-08-27_23-29-29_UTC_2.jpg'], ['2385308636229364556_1.jpg']]","[[['floral']], [['floral', 'print']]]"
22,2387482545852800823,"[['2020-08-30_23-28-39_UTC_2.jpg'], ['2387482545852800823_1.jpg']]","[[['print']], [['graphic']]]"
23,2395458039672148026,"[['2020-09-10_23-34-32_UTC_3.jpg'], ['2395458039672148026_1.jpg'], ['2395458039672148026_2.jpg']]","[[['floral']], [['floral']], [['graphic']]]"
24,2397595211868845055,"[['2020-09-13_22-20-43_UTC_4.jpg'], ['2397595211868845055_1.jpg'], ['2397595211868845055_2.jpg'], ['2397595211868845055_3.jpg']]","[[['print']], [['floral']], [['print']], [['floral']]]"
25,2422372249389480472,"[['2020-10-18_02-48-16_UTC_4.jpg'], ['2422372249389480472_1.jpg'], ['2422372249389480472_2.jpg'], ['2422372249389480472_3.jpg']]","[[['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
26,2470119690108475145,"[['2020-12-22_23-53-55_UTC_4.jpg'], ['2470119690108475145_1.jpg'], ['2470119690108475145_2.jpg'], ['2470119690108475145_3.jpg']]","[[['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
27,2477355789897837373,"[['2021-01-01_23-30-45_UTC_3.jpg'], ['2477355789897837373_1.jpg'], ['2477355789897837373_2.jpg']]","[[['floral', 'print']], [['floral']], [['floral', 'print']]]"
28,2536019174591796277,"[['2021-03-23_22-04-25_UTC_2.jpg'], ['2536019174591796277_1.jpg']]","[[['print']], [['print']]]"
29,2542605578176151629,"[['2021-04-02_00-10-26_UTC_2.jpg'], ['2542605578176151629_1.jpg']]","[[['print']], [['print']]]"
30,2544031310110701997,"[['2021-04-03_23-23-06_UTC_2.jpg'], ['2544031310110701997_1.jpg']]","[[['floral', 'print']], [['floral']]]"
31,2554958670888585557,"[['2021-04-19_01-13-49_UTC_3.jpg'], ['2554958670888585557_1.jpg'], ['2554958670888585557_2.jpg']]","[[['print']], [['print']], [['print']]]"
32,2555578024609125819,"[['2021-04-19_21-44-22_UTC_2.jpg'], ['2555578024609125819_1.jpg']]","[[['floral', 'print']], [['floral']]]"
33,2566464138106502651,"[['2021-05-04_22-13-08_UTC_2.jpg'], ['2566464138106502651_1.jpg']]","[[['floral']], [['floral', 'print']]]"
34,2567232000287027681,"[['2021-05-05_23-38-44_UTC_4.jpg'], ['2567232000287027681_1.jpg'], ['2567232000287027681_2.jpg'], ['2567232000287027681_3.jpg']]","[[['floral']], [['print']], [['print']], [['floral']]]"
35,2596937829332098778,"[['2021-06-15_23-18-55_UTC_3.jpg'], ['2596937829332098778_1.jpg'], ['2596937829332098778_2.jpg']]","[[['print']], [['print']], [['floral', 'print']]]"
