,carpeta_numero,nombre_imagen,textura
0,1001129260787871655,[['1001129260787871655.jpg']],[[['print']]]
1,1031132668982635845,[['1031132668982635845.jpg']],[[['print']]]
2,1043108807741451542,[['1043108807741451542.jpg']],[[['print']]]
3,1060065445597589407,[['1060065445597589407.jpg']],[[['print']]]
4,1064866363170008643,[['1064866363170008643.jpg']],[[['print']]]
5,1077191736163479148,[['1077191736163479148.jpg']],[[['print']]]
6,1091979500377517975,[['1091979500377517975.jpg']],[[['print']]]
7,1093171863082937361,[['1093171863082937361.jpg']],[[['floral']]]
8,1095189007350017352,[['1095189007350017352.jpg']],[[['print']]]
9,1103240675752848443,[['1103240675752848443.jpg']],[[['floral']]]
10,1103261991230942852,[['1103261991230942852.jpg']],"[[['floral', 'print']]]"
11,1109025407635729513,[['1109025407635729513.jpg']],[[['print']]]
12,1109775902864223713,[['1109775902864223713.jpg']],"[[['floral', 'print']]]"
13,1112389366640192538,[['1112389366640192538.jpg']],[[['print']]]
14,1114891739174448378,[['1114891739174448378.jpg']],[[['print']]]
15,1128668386633624796,[['1128668386633624796.jpg']],"[[['floral', 'print']]]"
16,1135535524178734087,[['1135535524178734087.jpg']],[[['print']]]
17,1140193280726838478,[['1140193280726838478.jpg']],[[['graphic']]]
18,1147925862688140783,[['1147925862688140783.jpg']],"[[['floral', 'print']]]"
19,1150195239831645622,[['1150195239831645622.jpg']],[[['print']]]
20,1150403695465376850,[['1150403695465376850.jpg']],"[[['floral', 'print']]]"
21,1157322852018597420,[['1157322852018597420.jpg']],[[['floral']]]
22,1158815454723223398,[['1158815454723223398.jpg']],"[[['floral', 'print']]]"
23,1166991228353556437,[['1166991228353556437.jpg']],[[['graphic']]]
24,1170650049202531556,[['1170650049202531556.jpg']],[[['floral']]]
25,1174996598544051717,[['1174996598544051717.jpg']],"[[['floral', 'print']]]"
26,1178186242098114343,[['1178186242098114343.jpg']],[[['print']]]
27,1182935039948795279,[['1182935039948795279.jpg']],"[[['floral', 'print']]]"
28,1185120387332222035,[['1185120387332222035.jpg']],"[[['floral', 'print']]]"
29,1187351600906284456,[['1187351600906284456.jpg']],[[['floral']]]
30,1193066743388614490,[['1193066743388614490.jpg']],"[[['floral', 'print']]]"
