,carpeta_numero,nombre_imagen,textura
0,1109744922797392970,[['1109744922797392970.jpg']],[[['graphic']]]
1,1109747717445371012,[['1109747717445371012.jpg']],[[['graphic']]]
2,1129636995369387613,[['1129636995369387613.jpg']],"[[['floral', 'print']]]"
3,1365036837919651629,[['1365036837919651629.jpg']],"[[['floral', 'print']]]"
4,1365328402646966430,[['1365328402646966430.jpg']],[[['print']]]
5,1365402819322342185,[['1365402819322342185.jpg']],[[['print']]]
6,1365426573452764058,[['1365426573452764058.jpg']],"[[['floral', 'print']]]"
7,1365427337847746611,[['1365427337847746611.jpg']],[[['print']]]
8,1365443171135607345,[['1365443171135607345.jpg']],[[['print']]]
9,1365443576020127025,[['1365443576020127025.jpg']],[[['floral']]]
10,1365444125306283258,[['1365444125306283258.jpg']],[[['print']]]
11,1365460576247264807,[['1365460576247264807.jpg']],[[['print']]]
12,1365498650301965654,[['1365498650301965654.jpg']],[[['print']]]
13,1365499171108763225,[['1365499171108763225.jpg']],[[['print']]]
14,1365499897679628313,[['1365499897679628313.jpg']],[[['graphic']]]
15,1365501852929910290,[['1365501852929910290.jpg']],"[[['floral', 'print']]]"
16,1365502407039462719,[['1365502407039462719.jpg']],"[[['floral', 'print']]]"
17,1365502928760371691,[['1365502928760371691.jpg']],[[['print']]]
18,1365503544593351789,[['1365503544593351789.jpg']],[[['print']]]
19,1365503961691692711,[['1365503961691692711.jpg']],[[['floral']]]
20,1365504351015277500,[['1365504351015277500.jpg']],[[['floral']]]
21,1365509470532664690,[['1365509470532664690.jpg']],[[['floral']]]
22,1365509932090482014,[['1365509932090482014.jpg']],[[['print']]]
23,1365510470848875437,[['1365510470848875437.jpg']],[[['print']]]
24,1365510864534672211,[['1365510864534672211.jpg']],[[['print']]]
25,1365514005506323370,[['1365514005506323370.jpg']],[[['print']]]
26,1365515462934788922,[['1365515462934788922.jpg']],[[['print']]]
27,1365516143879921747,[['1365516143879921747.jpg']],[[['floral']]]
28,1365516732835708069,[['1365516732835708069.jpg']],[[['floral']]]
29,1365517824797616690,[['1365517824797616690.jpg']],[[['floral']]]
30,1365524764860855845,[['1365524764860855845.jpg']],[[['floral']]]
31,1365533489675795664,[['1365533489675795664.jpg']],[[['print']]]
32,1368837894915329044,[['1368837894915329044.jpg']],[[['print']]]
33,1370399733155388327,[['1370399733155388327.jpg']],"[[['floral', 'print']]]"
34,1371746836981196365,[['1371746836981196365.jpg']],"[[['floral', 'print']]]"
35,1372569491518947551,[['1372569491518947551.jpg']],[[['print']]]
36,1422191878878866770,[['1422191878878866770.jpg']],[[['print']]]
37,1438857167871684831,[['1438857167871684831.jpg']],[[['print']]]
38,1456886117772826221,[['1456886117772826221.jpg']],"[[['floral', 'print']]]"
39,1456890348206738817,[['1456890348206738817.jpg']],"[[['floral', 'print']]]"
40,1456923286067674314,[['1456923286067674314.jpg']],[[['print']]]
41,1501899277512705875,[['1501899277512705875.jpg']],"[[['floral', 'print']]]"
42,1502572919535931169,[['1502572919535931169.jpg']],[[['print']]]
43,1502632382385036895,[['1502632382385036895.jpg']],[[['floral']]]
44,1516426338017041535,[['1516426338017041535.jpg']],[[['floral']]]
45,1522040641344634991,[['1522040641344634991.jpg']],[[['print']]]
46,1537361089221598911,[['1537361089221598911.jpg']],[[['print']]]
47,1544435781899929552,[['1544435781899929552.jpg']],[[['floral']]]
48,1566674430439889607,[['1566674430439889607.jpg']],"[[['floral', 'print']]]"
49,1567425513340770928,[['1567425513340770928.jpg']],[[['print']]]
50,1587989620980451038,[['1587989620980451038.jpg']],[[['print']]]
51,1588830341913439036,[['1588830341913439036.jpg']],"[[['floral', 'print']]]"
52,1606243210867104375,[['1606243210867104375.jpg']],[[['print']]]
53,1611287015306775368,[['1611287015306775368.jpg']],"[[['floral', 'print']]]"
54,1622667600369423457,[['1622667600369423457.jpg']],"[[['floral', 'print']]]"
55,1628353208626611733,[['1628353208626611733.jpg']],[[['floral']]]
56,1628872077543862894,[['1628872077543862894.jpg']],[[['floral']]]
57,1629171214021606617,"[['1629171214021606617_1.jpg'], ['1629171214021606617_2.jpg'], ['1629171214021606617_3.jpg'], ['1629171214021606617_4.jpg'], ['1629171214021606617_5.jpg'], ['1629171214021606617_6.jpg'], ['1629171214021606617_7.jpg'], ['2017-10-19_16-59-24_UTC_8.jpg']]","[[['print']], [['floral']], [['print']], [['floral']], [['print']], [['floral']], [['floral']], [['floral', 'print']]]"
58,1629178901249842419,[['1629178901249842419.jpg']],[[['print']]]
59,1629456617383578847,"[['1629456617383578847_1.jpg'], ['1629456617383578847_2.jpg'], ['1629456617383578847_3.jpg'], ['1629456617383578847_4.jpg'], ['2017-10-20_02-26-27_UTC_5.jpg']]","[[['floral', 'print']], [['print']], [['print']], [['print']], [['print']]]"
