,carpeta_numero,nombre_imagen,textura
0,1832132554536677308,[['1832132554536677308.jpg']],[[['floral']]]
1,1833652795909465876,"[['1833652795909465876.jpg'], ['2018-07-28_20-07-48_UTC.jpg']]","[[['print']], [['print']]]"
2,1835781790402624115,[['1835781790402624115.jpg']],[[['print']]]
3,1837225294718004760,"[['1837225294718004760_1.jpg'], ['2018-08-02_18-25-43_UTC_2.jpg']]","[[['floral']], [['floral']]]"
4,1841553864824013375,[['1841553864824013375.jpg']],[[['print']]]
5,1842330120486149889,"[['1842330120486149889_1.jpg'], ['2018-08-09_19-28-06_UTC_2.jpg']]","[[['print']], [['floral', 'print']]]"
6,1844455031178599424,[['1844455031178599424.jpg']],[[['print']]]
7,1845921078922520445,[['1845921078922520445.jpg']],"[[['floral', 'print']]]"
8,1850270369769123816,[['1850270369769123816.jpg']],"[[['floral', 'print']]]"
9,1852434924587864721,[['1852434924587864721.jpg']],[[['print']]]
10,1855366259093682192,"[['1855366259093682192_1.jpg'], ['2018-08-27_19-08-35_UTC_2.jpg']]","[[['floral', 'print']], [['floral', 'print']]]"
11,1858228253450724885,[['1858228253450724885.jpg']],[[['print']]]
12,1859691970798347239,"[['1859691970798347239_1.jpg'], ['2018-09-02_18-23-00_UTC_2.jpg']]","[[['floral', 'print']], [['floral', 'print']]]"
13,1860516411279226637,[['1860516411279226637.jpg']],[[['print']]]
14,1860846593600920043,"[['1860846593600920043_1.jpg'], ['1860846593600920043_2.jpg'], ['2018-09-04_08-37-02_UTC_3.jpg']]","[[['floral', 'print']], [['floral']], [['floral']]]"
15,1862646105364527838,"[['1862646105364527838_1.jpg'], ['1862646105364527838_2.jpg']]","[[['graphic']], [['floral']]]"
16,1863371377585052272,[['1863371377585052272.jpg']],[[['floral']]]
17,1865468314583835865,[['1865468314583835865.jpg']],"[[['floral', 'print']]]"
18,1867634900166137004,[['1867634900166137004.jpg']],[[['floral']]]
19,1868474767280290991,[['1868474767280290991.jpg']],[[['print']]]
20,1873447007056316378,[['1873447007056316378.jpg']],"[[['floral', 'print']]]"
21,1874985175203333640,[['1874985175203333640.jpg']],"[[['floral', 'print']]]"
22,1877106236413836571,[['1877106236413836571.jpg']],[[['floral']]]
23,1877833709266962801,[['1877833709266962801.jpg']],[[['print']]]
24,1880753121045391859,[['1880753121045391859.jpg']],[[['floral']]]
25,1882219152020385411,[['1882219152020385411.jpg']],[[['floral']]]
26,1882934415925771187,[['1882934415925771187.jpg']],[[['floral']]]
27,1883643629681883626,[['1883643629681883626.jpg']],"[[['floral', 'print']]]"
28,1884387941533116586,[['1884387941533116586.jpg']],"[[['floral', 'print']]]"
29,1887216211362357392,[['1887216211362357392.jpg']],"[[['floral', 'print']]]"
30,1895194364403955650,[['1895194364403955650.jpg']],[[['print']]]
31,1896717858409108922,[['1896717858409108922.jpg']],"[[['floral', 'print']]]"
32,1898851926022046576,[['1898851926022046576.jpg']],[[['floral']]]
33,1899578479316202987,[['1899578479316202987.jpg']],[[['print']]]
34,1900330754531916108,[['1900330754531916108.jpg']],[[['print']]]
35,1903966225531030563,[['1903966225531030563.jpg']],"[[['floral', 'print']]]"
36,1907558523107827229,[['1907558523107827229.jpg']],"[[['floral', 'print']]]"
37,1918467646674697793,[['1918467646674697793.jpg']],[[['print']]]
38,1921322139007196081,[['1921322139007196081.jpg']],[[['floral']]]
39,1932909873815530620,[['1932909873815530620.jpg']],[[['floral']]]
40,1935132013373639295,[['1935132013373639295.jpg']],[[['print']]]
41,1946714799087769797,[['1946714799087769797.jpg']],"[[['floral', 'print']]]"
42,1951074591474216440,[['1951074591474216440.jpg']],"[[['floral', 'print']]]"
43,1951797798066023279,[['1951797798066023279.jpg']],"[[['floral', 'print']]]"
44,1954703108241892383,[['1954703108241892383.jpg']],[[['floral']]]
45,1958298385133793591,[['1958298385133793591.jpg']],"[[['floral', 'print']]]"
46,1962680101550048384,[['1962680101550048384.jpg']],"[[['floral', 'print']]]"
47,1964808346756149910,[['1964808346756149910.jpg']],[[['floral']]]
48,1965539713718501479,[['1965539713718501479.jpg']],"[[['floral', 'print']]]"
49,1966978653271177866,"[['1966978653271177866_1.jpg'], ['2019-01-28_19-02-29_UTC_2.jpg']]","[[['floral']], [['floral']]]"
50,1980100540029449191,[['1980100540029449191.jpg']],"[[['floral', 'print']]]"
51,1992342037489222815,[['1992342037489222815.jpg']],[[['print']]]
52,2003233925855191920,[['2003233925855191920.jpg']],[[['print']]]
53,2003943843449270513,[['2003943843449270513.jpg']],[[['print']]]
