,carpeta_numero,nombre_imagen,textura
0,1053808238928940688,[['1053808238928940688.jpg']],[[['floral']]]
1,1233604334273253257,[['1233604334273253257.jpg']],"[[['floral', 'print']]]"
2,1244411126032977718,[['1244411126032977718.jpg']],[[['floral']]]
3,1250082104616504630,[['1250082104616504630.jpg']],[[['print']]]
4,1250611310630882374,[['1250611310630882374.jpg']],"[[['floral', 'print']]]"
5,1250947188918144990,[['1250947188918144990.jpg']],[[['print']]]
6,1253654082686373378,[['1253654082686373378.jpg']],"[[['floral', 'print']]]"
7,1255307177698872541,[['1255307177698872541.jpg']],[[['floral']]]
8,1258086606208585005,[['1258086606208585005.jpg']],[[['print']]]
9,1298037684598282420,[['1298037684598282420.jpg']],"[[['floral', 'print']]]"
10,1862535601232957405,[['1862535601232957405.jpg']],"[[['floral', 'print']]]"
11,1877109514705293431,[['1877109514705293431.jpg']],"[[['floral', 'print']]]"
