,carpeta_numero,nombre_imagen,textura
0,1004340976836135295,[['1004340976836135295.jpg']],"[[['floral', 'print']]]"
1,124865672847018613,[['124865672847018613.jpg']],[[['floral']]]
2,1303246913948977425,[['1303246913948977425.jpg']],[[['print']]]
3,1304695625174867390,[['1304695625174867390.jpg']],[[['print']]]
4,1309607039295501969,[['1309607039295501969.jpg']],[[['print']]]
5,1311120344455357892,[['1311120344455357892.jpg']],"[[['floral', 'print']]]"
6,1332935749897328471,[['1332935749897328471.jpg']],[[['floral']]]
7,1349599785162513080,[['1349599785162513080.jpg']],"[[['floral', 'print']]]"
8,1364888659333953099,[['1364888659333953099.jpg']],"[[['floral', 'print']]]"
9,1387211633281874289,[['1387211633281874289.jpg']],[[['print']]]
10,1392312192150153766,[['1392312192150153766.jpg']],[[['floral']]]
11,1400333199661789598,[['1400333199661789598.jpg']],"[[['floral', 'print']]]"
12,1402466397477387307,[['1402466397477387307.jpg']],"[[['floral', 'print']]]"
13,1435200014502450118,[['1435200014502450118.jpg']],[[['floral']]]
14,1435744399937802741,[['1435744399937802741.jpg']],"[[['floral', 'print']]]"
15,1447964439370138040,[['1447964439370138040.jpg']],"[[['floral', 'print']]]"
16,1458799795179018508,[['1458799795179018508.jpg']],"[[['floral', 'print']]]"
17,1461205998823214528,[['1461205998823214528.jpg']],[[['floral']]]
18,1468448107716913266,[['1468448107716913266.jpg']],"[[['floral', 'print']]]"
19,1485942766504336236,[['1485942766504336236.jpg']],"[[['floral', 'print']]]"
20,1489496680705157905,[['1489496680705157905.jpg']],"[[['floral', 'print']]]"
21,1491670689937025815,[['1491670689937025815.jpg']],"[[['floral', 'print']]]"
22,1493034434126935784,[['1493034434126935784.jpg']],[[['print']]]
23,1493793276389238144,[['1493793276389238144.jpg']],[[['floral']]]
24,1495289137254459966,[['1495289137254459966.jpg']],[[['print']]]
25,1496000757207299186,[['1496000757207299186.jpg']],"[[['floral', 'print']]]"
26,1511264634425716315,[['1511264634425716315.jpg']],[[['print']]]
27,1515569888697469603,[['1515569888697469603.jpg']],"[[['floral', 'print']]]"
28,1516245248632055835,[['1516245248632055835.jpg']],[[['floral']]]
29,1517002472681809968,[['1517002472681809968.jpg']],[[['print']]]
30,1517057822034255074,[['1517057822034255074.jpg']],"[[['floral', 'print']]]"
31,1527192634946557559,[['1527192634946557559.jpg']],[[['print']]]
32,1530834822049906377,[['1530834822049906377.jpg']],[[['floral']]]
33,1532936550706663336,[['1532936550706663336.jpg']],"[[['floral', 'print']]]"
34,1539316919920084032,[['1539316919920084032.jpg']],"[[['floral', 'print']]]"
35,1543808190885728302,[['1543808190885728302.jpg']],[[['floral']]]
36,1546025657754189862,[['1546025657754189862.jpg']],"[[['floral', 'print']]]"
37,1546758329313212011,[['1546758329313212011.jpg']],[[['print']]]
38,1548230631946978721,[['1548230631946978721.jpg']],"[[['floral', 'print']]]"
39,1549391012522371356,[['1549391012522371356.jpg']],"[[['floral', 'print']]]"
40,1550823087905493467,[['1550823087905493467.jpg']],[[['floral']]]
41,1555190450943720005,[['1555190450943720005.jpg']],[[['print']]]
42,1556215750183965778,[['1556215750183965778.jpg']],"[[['floral', 'print']]]"
43,1560475843704650615,[['1560475843704650615.jpg']],[[['print']]]
44,1563400608631143832,[['1563400608631143832.jpg']],[[['print']]]
45,1567082982275405892,[['1567082982275405892.jpg']],"[[['floral', 'print']]]"
46,1567537228175374026,[['1567537228175374026.jpg']],"[[['floral', 'print']]]"
47,1567755299552866793,[['1567755299552866793.jpg']],"[[['floral', 'print']]]"
48,1568316104321053786,[['1568316104321053786.jpg']],[[['print']]]
49,1574054195744856821,[['1574054195744856821.jpg']],[[['print']]]
50,1580830289898515632,[['1580830289898515632.jpg']],"[[['floral', 'print']]]"
51,1588076550473173485,[['1588076550473173485.jpg']],[[['print']]]
52,1588832670968648947,[['1588832670968648947.jpg']],"[[['floral', 'print']]]"
53,1593930945358725319,[['1593930945358725319.jpg']],[[['print']]]
54,1601109834162216887,[['1601109834162216887.jpg']],"[[['floral', 'print']]]"
55,1604697158494012113,[['1604697158494012113.jpg']],"[[['floral', 'print']]]"
56,1610288205286820255,[['1610288205286820255.jpg']],"[[['floral', 'print']]]"
57,1611022608849782128,[['1611022608849782128.jpg']],"[[['floral', 'print']]]"
58,1614850659194878169,[['1614850659194878169.jpg']],"[[['floral', 'print']]]"
